gene	AD	CTL	delta	z_change	perc_AD	perc_CTL	delta_perc	HigherNetwork	gene_clean	delta_abs_percentil	logFC	is_dge	n_dge	hgnc_symbol	label
ENSG00000160282	7	38	-31	-0.43216709421236665	0.3122582564712883	0.4639988098780125	-0.1517405534067242	Control	ENSG00000160282	0.6716750966974114	0.34064506250054194	FALSE	9	FTCD	FTCD
ENSG00000175029	9	44	-35	-0.48316514045769093	0.34811068134483786	0.499851234751562	-0.15174055340672415	Control	ENSG00000175029	0.6712288009520976	0.1130453865194756	FALSE	9	CTBP2	CTBP2
ENSG00000280383	59	181	-122	-1.5923726462934935	0.6234751562035109	0.7749181791133591	-0.15144302290984824	Control	ENSG00000280383	0.6709312704552216	0.21048304673249163	FALSE	9	NA	ENSG00000280383
ENSG00000116750	80	229	-149	-1.9366094584494324	0.6679559654864624	0.8185063969056828	-0.15055043141922042	Control	ENSG00000116750	0.6706337399583457	-0.09738153453497134	FALSE	9	UCHL5	UCHL5
ENSG00000243319	20	73	-53	-0.7126563485616502	0.4587920261826837	0.6090449271050282	-0.1502529009223445	Control	ENSG00000243319	0.6703362094614698	0.2982619629816323	FALSE	9	FGF14-IT1	FGF14-IT1
ENSG00000172348	224	91	133	1.6587528018459283	0.8018446890806308	0.6517405534067242	0.15010413567390657	AD	ENSG00000172348	0.6700386789645939	-0.17108698192284244	FALSE	9	RCAN2	RCAN2
ENSG00000035141	42	32	10	0.09056287980220706	0.5709610235049093	0.42100565307944066	0.14995537042546864	AD	ENSG00000035141	0.6697411484677179	-0.06030968456285812	FALSE	9	FAM136A	FAM136A
ENSG00000134897	76	220	-144	-1.8728619006427771	0.6596251115739363	0.8095804819994049	-0.14995537042546858	Control	ENSG00000134897	0.6694436179708421	0.08803966266369478	FALSE	9	BIVM	BIVM
ENSG00000172757	21	19	2	-0.01143321268844147	0.4669741148467718	0.31716750966974117	0.14980660517703065	AD	ENSG00000172757	0.6691460874739661	-0.1437567255791734	FALSE	9	CFL1	CFL1
ENSG00000065883	17	65	-48	-0.6489087907549947	0.4343945254388575	0.5842011306158881	-0.1498066051770306	Control	ENSG00000065883	0.6688485569770901	0.07959406791303181	FALSE	9	CDK13	CDK13
ENSG00000008056	49	35	14	0.14156092604753132	0.593424576019042	0.44376673609044925	0.14965783992859272	AD	ENSG00000008056	0.66855102648021425	-0.01605392188654697	FALSE	9	SYN1	SYN1
ENSG00000204065	25	22	3	0.00131629887288958	0.4931567985718536	0.3436477238916989	0.14950907468015473	AD	ENSG00000204065	0.6673609044927105	-0.22946645803613208	FALSE	9	TCEAL5	TCEAL5
ENSG00000244062	4	3	1	-0.02418272424977254	0.23147872656947335	0.08196965188931865	0.14950907468015473	AD	ENSG00000244062	0.6673609044927105	0.29752848334650306	FALSE	9	ACSL3P1	ACSL3P1
ENSG00000135905	4	3	1	-0.02418272424977254	0.23147872656947335	0.08196965188931865	0.14950907468015473	AD	ENSG00000135905	0.6673609044927105	0.04301753162603283	FALSE	9	DOCK10	DOCK10
ENSG00000081154	4	3	1	-0.02418272424977254	0.23147872656947335	0.08196965188931865	0.14950907468015473	AD	ENSG00000081154	0.6673609044927105	-0.05455012750234545	FALSE	9	PCNP	PCNP
ENSG00000180817	4	3	1	-0.02418272424977254	0.23147872656947335	0.08196965188931865	0.14950907468015473	AD	ENSG00000180817	0.6673609044927105	-0.05593384762194731	FALSE	9	PPA1	PPA1
ENSG00000177542	4	3	1	-0.02418272424977254	0.23147872656947335	0.08196965188931865	0.14950907468015473	AD	ENSG00000177542	0.6673609044927105	-0.18792397713384723	FALSE	9	SLC25A22	SLC25A22
ENSG00000126858	4	3	1	-0.02418272424977254	0.23147872656947335	0.08196965188931865	0.14950907468015473	AD	ENSG00000126858	0.6673609044927105	-0.05685940263070321	FALSE	9	RHOT1	RHOT1
ENSG00000242265	395	150	245	3.0866980967150077	0.8930377863731033	0.7438262421898244	0.1492115441832789	AD	ENSG00000242265	0.6661707825052068	-0.35219596678455645	FALSE	9	PEG10	PEG10
ENSG00000111639	6	34	-28	-0.3939185595283735	0.28711692948527223	0.43588217792323714	-0.1487652484379649	Control	ENSG00000111639	0.6655757215114549	-0.08744532303062336	FALSE	9	MRPL51	MRPL51
ENSG00000168487	6	34	-28	-0.3939185595283735	0.28711692948527223	0.43588217792323714	-0.1487652484379649	Control	ENSG00000168487	0.6655757215114549	0.21077529118285732	FALSE	9	BMP1	BMP1
ENSG00000124226	6	34	-28	-0.3939185595283735	0.28711692948527223	0.43588217792323714	-0.1487652484379649	Control	ENSG00000124226	0.6655757215114549	0.04668996164537553	FALSE	9	RNF114	RNF114
