gene	AD	CTL	delta	z_change	perc_AD	perc_CTL	delta_perc	HigherNetwork	gene_clean	delta_abs_percentil	logFC	is_dge	n_dge	hgnc_symbol	label
ENSG00000135392	1	500	-499	-4.254400077591434	0.05154791882684047	0.9979262331506444	-0.9463783143238038	Control	ENSG00000135392	1	0.06854749577155062	FALSE	0	DNAJC14	DNAJC14
ENSG00000146453	545	1	544	4.684715325021632	0.99451933046956	0.05058509850392535	0.9439342319656348	AD	ENSG00000146453	0.9998518737964746	0.9706899122433345	TRUE	1	PNLDC1	PNLDC1
ENSG00000188636	1	397	-396	-3.3716302919067305	0.05154791882684047	0.9920011850096282	-0.9404532661827876	Control	ENSG00000188636	0.9997037475929492	0.09724007528116552	FALSE	1	RTL6	RTL6
ENSG00000116984	477	1	476	4.101915854860856	0.9903717967708487	0.05058509850392535	0.9397866982669234	AD	ENSG00000116984	0.9995556213894238	-0.461668985066952	FALSE	1	MTR	MTR
ENSG00000160172	439	1	438	3.7762337980063054	0.9881499037179676	0.05058509850392535	0.9375648052140424	AD	ENSG00000160172	0.9994074951858983	-0.8384121670882481	TRUE	2	FAM86C2P	FAM86C2P
ENSG00000259291	433	1	432	3.724810315345061	0.9874833358021032	0.05058509850392535	0.936898237298178	AD	ENSG00000259291	0.999259368982373	-0.7982484969955301	TRUE	3	ZNF710-AS1	ZNF710-AS1
ENSG00000012983	1	344	-343	-2.917389528399067	0.05154791882684047	0.9840764331210192	-0.9325285142941786	Control	ENSG00000012983	0.9991112427788476	-0.15287891601838233	FALSE	3	MAP4K5	MAP4K5
ENSG00000269976	1	336	-335	-2.8488248848507407	0.05154791882684047	0.9829654865945786	-0.931417567767738	Control	ENSG00000269976	0.9989631165753222	-0.7611717453977418	TRUE	4	NA	ENSG00000269976
ENSG00000272899	390	1	389	3.3562753562728056	0.9815582876610872	0.05058509850392535	0.930973189157162	AD	ENSG00000272899	0.9988149903717968	-0.5331196930335604	FALSE	4	SPMIP1	SPMIP1
ENSG00000179477	386	1	385	3.321993034498642	0.9808176566434602	0.05058509850392535	0.9302325581395348	AD	ENSG00000179477	0.9986668641682713	-0.696124123658346	TRUE	5	ALOX12B	ALOX12B
ENSG00000226696	363	1	362	3.1248696842972037	0.9778551325729522	0.05058509850392535	0.9272700340690267	AD	ENSG00000226696	0.998518737964746	-0.37526582259380703	FALSE	5	LENG8-AS1	LENG8-AS1
ENSG00000231304	360	1	359	3.099157942966581	0.9773366908606133	0.05058509850392535	0.926751592356688	AD	ENSG00000231304	0.99837061176122055	1.1275196363751872	TRUE	6	SGO1-AS1	SGO1-AS1
ENSG00000244968	356	1	355	3.064875621192418	0.9764479336394608	0.05058509850392535	0.9258628351355356	AD	ENSG00000244968	0.9982224855576951	-0.4248279153619192	FALSE	6	LIFR-AS1	LIFR-AS1
ENSG00000258135	343	1	342	2.9534580754263873	0.9737816619760036	0.05058509850392535	0.9231965634720782	AD	ENSG00000258135	0.9980743593541698	-0.8658957340173634	TRUE	7	LINC02396	LINC02396
ENSG00000258890	1	289	-288	-2.446007604004323	0.05154791882684047	0.9742260405865798	-0.9226781217597392	Control	ENSG00000258890	0.9979262331506443	-0.24015325165466803	FALSE	7	CEP95	CEP95
ENSG00000188811	340	1	339	2.9277463340957652	0.9730410309583766	0.05058509850392535	0.9224559324544512	AD	ENSG00000188811	0.997778106947119	-0.4117567316823081	FALSE	7	NHLRC3	NHLRC3
ENSG00000258102	327	1	326	2.8163287883297343	0.9711153903125463	0.05058509850392535	0.920530291808621	AD	ENSG00000258102	0.9976299807435935	-0.5760043867548665	TRUE	8	MAP1LC3B2	MAP1LC3B2
ENSG00000221944	326	1	325	2.807758207886194	0.9707450748037328	0.05058509850392535	0.9201599762998074	AD	ENSG00000221944	0.9974818545400681	-0.6029073517421413	TRUE	9	TIGD1	TIGD1
