gene	AD	CTL	delta	z_change	perc_AD	perc_CTL	delta_perc	HigherNetwork	gene_clean	delta_abs_percentil	logFC	is_dge	n_dge	hgnc_symbol	label
ENSG00000198863	1	96	-95	-1.5555331765017988	0.04782840394351186	0.7143618438582467	-0.6665334399147349	Control	ENSG00000198863	1	-0.01915538155745722	FALSE	0	RUNDC1	RUNDC1
ENSG00000173465	82	1	81	1.3220594354076285	0.7005062616573408	0.04209965361044498	0.6584066080468958	AD	ENSG00000173465	0.9997335464961364	-0.12489573279965782	FALSE	0	ZNRD2	ZNRD2
ENSG00000168653	72	1	71	1.158559855185502	0.6837196909139355	0.04209965361044498	0.6416200373034905	AD	ENSG00000168653	0.9994670929922729	-0.20296309152036152	FALSE	0	NDUFS5	NDUFS5
ENSG00000244038	97	2	95	1.5509588477186056	0.7207567279509726	0.11204369837463364	0.608713029576339	AD	ENSG00000244038	0.9992006394884093	-0.17131077060627753	FALSE	0	DDOST	DDOST
ENSG00000163155	2	96	-94	-1.5391832184795862	0.12283506528110844	0.7143618438582467	-0.5915267785771383	Control	ENSG00000163155	0.9989341859845456	-0.00669344867992727	FALSE	0	LYSMD1	LYSMD1
ENSG00000162437	2	90	-88	-1.4410834703463102	0.12283506528110844	0.7029043431921129	-0.5800692779110045	Control	ENSG00000162437	0.9986677324806821	0.1270687665476089	FALSE	0	RAVER2	RAVER2
ENSG00000079691	1	57	-56	-0.9178848136355052	0.04782840394351186	0.6273647748467892	-0.5795363709032774	Control	ENSG00000079691	0.9984012789768185	0.08812262378297753	FALSE	0	CARMIL1	CARMIL1
ENSG00000077152	2	86	-84	-1.3756836382574595	0.12283506528110844	0.69597655209166	-0.5731414868105515	Control	ENSG00000077152	0.998134825472955	-0.21629377571247677	FALSE	0	UBE2T	UBE2T
ENSG00000251136	1	53	-52	-0.8524849815466545	0.04782840394351186	0.6132427391420198	-0.5654143351985079	Control	ENSG00000251136	0.9978683719690914	0.10739554847085664	FALSE	0	PARAIL	PARAIL
ENSG00000106484	100	3	97	1.5836587637630308	0.7254196642685852	0.16027178257394084	0.5651478816946444	AD	ENSG00000106484	0.9976019184652278	-0.17655632282812128	FALSE	0	MEST	MEST
ENSG00000141367	203	7	196	3.2023046079620836	0.8169464428457234	0.2675193178790301	0.5494271249666933	AD	ENSG00000141367	0.9973354649613643	-0.317229815036292	FALSE	0	CLTC	CLTC
ENSG00000102119	38	1	37	0.6026612824302717	0.5907274180655475	0.04209965361044498	0.5486277644551025	AD	ENSG00000102119	0.9970690114575007	-0.1937910469966777	FALSE	0	EMD	EMD
ENSG00000179918	304	10	294	4.804600494138924	0.8685051958433253	0.32187583266719955	0.5466293631761258	AD	ENSG00000179918	0.996802557953637	-0.12908604874821172	FALSE	0	SEPHS2	SEPHS2
ENSG00000135912	3	98	-95	-1.5555331765017988	0.17306155075939247	0.7174260591526779	-0.5443645083932854	Control	ENSG00000135912	0.9965361044497735	0.06682061810113993	FALSE	0	TTLL4	TTLL4
ENSG00000278845	8	261	-253	-4.138826544011398	0.3160138555822009	0.8575806021849187	-0.5415667466027179	Control	ENSG00000278845	0.9962696509459099	-0.04496617367255062	FALSE	0	MRPL45	MRPL45
ENSG00000085662	1	43	-42	-0.6889854013245279	0.04782840394351186	0.5819344524380495	-0.5341060484945377	Control	ENSG00000085662	0.9960031974420464	0.02812438194033717	FALSE	0	AKR1B1	AKR1B1
ENSG00000131375	3	91	-88	-1.4410834703463102	0.17306155075939247	0.704769517719158	-0.5317079669597655	Control	ENSG00000131375	0.9957367439381828	0.08164649764404608	FALSE	0	CAPN7	CAPN7
ENSG00000048544	72	3	69	1.1258599391410764	0.6837196909139355	0.16027178257394084	0.5234479083399947	AD	ENSG00000048544	0.9954702904343192	-0.05390997989487722	FALSE	0	MRPS10	MRPS10
ENSG00000110013	1	40	-39	-0.6399355272578899	0.04782840394351186	0.5700772715161204	-0.5222488675726086	Control	ENSG00000110013	0.9949373834265921	-0.09739177088890472	FALSE	0	SIAE	SIAE
