node,degree,pagerank,pagerank_norm,kcore,membership_infomap
1,28,0.0434446829363152,1,3,1
2,7,0.0112246086080316,0.195866091271496,3,2
3,13,0.0177986760557715,0.359938666000331,3,1
4,20,0.0327401978009252,0.732842345888347,3,2
6,24,0.0327498410420489,0.733083017498804,3,3
5,12,0.0192036753121082,0.395003996149704,3,2
8,15,0.0224879784779814,0.476972135493961,3,4
10,11,0.0180920695489617,0.367261046888428,3,5
7,6,0.0104777744287995,0.177226944707182,3,2
9,6,0.0100575340893703,0.16673877812794,3,4
14,20,0.030370297642365,0.673695459435436,3,3
13,12,0.0182866422241568,0.372117102906247,3,4
17,14,0.0237222519440232,0.507776569294313,3,6
15,7,0.0104645802004243,0.176897649177697,3,7
20,9,0.0178493167513363,0.36120253336607,3,1
11,14,0.0215515670377876,0.453601606180187,3,8
18,10,0.0168062925914424,0.335171212455755,3,4
12,6,0.0119372846436232,0.213652734477787,3,2
23,8,0.0131531593424795,0.24399798024456,3,8
19,6,0.00945676309801505,0.151745009938364,3,3
16,13,0.0203114073781935,0.422650267447818,3,3
33,8,0.0111808644999709,0.19477434578884,3,9
26,6,0.0107070447377622,0.182948968431371,3,2
35,8,0.0115081393367609,0.202942321785886,3,3
21,6,0.00972154298469474,0.158353265495413,3,3
22,4,0.00740560209680634,0.100553069891052,3,2
29,6,0.0121110090339706,0.217988468518255,3,4
25,5,0.00610365410437183,0.0680596461499847,3,2
39,6,0.00767597475566734,0.107300907303467,3,5
27,4,0.00775681814354679,0.109318559678443,3,10
36,6,0.0111863879333492,0.19491219711801,3,6
37,4,0.0073282035361799,0.0986213919423182,3,6
34,4,0.00625176121693222,0.0717560358640558,3,11
40,4,0.00708410871487906,0.0925293848056144,3,11
31,4,0.0083199764309458,0.123373607170419,3,7
30,6,0.00881648629261287,0.135765273673625,3,2
46,6,0.0106199214042942,0.180774584040779,3,10
24,5,0.00973287184388745,0.158636005992262,3,4
55,6,0.0107552722969032,0.184152609839684,3,10
45,5,0.00931375770528652,0.148175946619255,3,5
28,4,0.004442938384917,0.0266122612319492,3,1
41,6,0.0111498565166925,0.194000462695296,3,12
47,4,0.00844513780578101,0.126497327635574,3,4
57,4,0.00774136579526229,0.108932907022945,3,8
58,4,0.00919880550726598,0.145307022129219,3,4
59,4,0.00836548989200536,0.124509511357625,3,6
61,6,0.00769237807746534,0.107710293921858,3,8
50,8,0.0151771571879023,0.294511994647972,3,13
69,4,0.00815394939427845,0.11922998016976,3,8
67,6,0.00904451755395231,0.141456373812777,3,14
70,5,0.00761297502049001,0.105728588668171,3,3
48,5,0.00951731449757898,0.153256224130927,3,9
38,4,0.00555043343500384,0.0542526171929544,3,9
66,4,0.00973884302588386,0.158785032027074,3,9
78,6,0.00996628841870031,0.16446151032704,3,3
68,4,0.00625200345766295,0.0717620815976465,3,4
44,4,0.00869322559515957,0.132688989447033,3,1
74,6,0.00846860694379237,0.127083059669935,3,13
54,4,0.00516758475961787,0.044697654698054,3,3
32,6,0.00947704870016943,0.152251288737882,3,3
81,4,0.00650000341288844,0.0779515512844035,3,9
53,4,0.00665825144483763,0.0819010334359138,3,3
92,4,0.00681248885222462,0.0857504202501887,3,5
43,5,0.00722179195654057,0.0959656203076066,3,2
89,4,0.00904627879053029,0.141500329951401,3,3
42,3,0.0060506886821455,0.0667377593173112,3,1
49,3,0.00697852216186062,0.0898942038087363,3,6
51,3,0.00751161399839551,0.103198866543414,3,11
52,3,0.00717141715367552,0.0947083889705039,3,7
56,3,0.00635211950501008,0.074260732210908,3,2
60,3,0.00536099731662098,0.0495247570155541,3,1
62,3,0.00772882298703689,0.108619869340227,3,3
63,3,0.00690017121861278,0.0879387567292383,3,10
64,3,0.00651249826746673,0.0782633921618844,3,1
65,3,0.00558862756467765,0.0552058488482308,3,12
71,3,0.00484468596289807,0.0366388939117048,3,6
72,3,0.00619598686112466,0.0703640449491566,3,6
73,3,0.00586272883736212,0.0620467433025845,3,13
75,3,0.00560134668077779,0.0555232867424136,3,12
76,3,0.00601527662428063,0.0658539613404084,3,14
77,3,0.00773672987460905,0.108817205831276,3,4
79,3,0.00442716259658821,0.0262185363074548,3,1
80,3,0.00670287955232856,0.08301484137286,3,9
82,3,0.00509622149251632,0.042916602850398,3,14
83,3,0.00509334432959602,0.0428447959314698,3,1
84,3,0.00674655817420371,0.0841049524811856,3,13
85,3,0.00496465049388103,0.0396329139200146,3,13
86,3,0.00702173626894557,0.0909727217689488,3,3
87,3,0.00375141121324254,0.0093534417182271,3,4
88,3,0.00337663708157699,0,3,4
90,3,0.00473261876547167,0.0338419719496833,3,6
91,3,0.00621492020671916,0.0708365747466703,3,3
93,3,0.00813090429838554,0.118654831185044,3,3
94,3,0.00628718510568215,0.0726401291107881,3,3
95,3,0.00468438167284592,0.0326380926090081,3,5
96,3,0.00467594204157822,0.0324274601439686,3,8
97,3,0.00613090866578094,0.0687398530537084,3,10
98,3,0.00735489459147056,0.0992875351175414,3,13
99,3,0.00446361893489609,0.0271283969590086,3,13
100,3,0.00587105816815094,0.0622546229386171,3,3
