node,degree,pagerank,pagerank_norm,kcore,membership_infomap
1,11,0.0203372724559692,0.55474436730823,3,1
2,15,0.0251073279581949,0.71973269338848,3,2
3,19,0.0251559219216688,0.721413478169167,3,3
4,5,0.00748580191253349,0.11023326850828,3,1
5,18,0.0268181112780333,0.778905857326394,3,4
6,20,0.0263058799321041,0.7611886227384,3,2
7,22,0.0301237473809741,0.893242339784547,3,2
10,21,0.0325309387339259,0.976503105134775,3,5
9,8,0.010017609469635,0.197804302138516,3,4
13,8,0.0138174395478689,0.329234136383566,3,3
11,15,0.0231562160218077,0.652246960312732,3,6
8,20,0.0332102685707689,1,3,2
14,12,0.0184156965346413,0.488280236115613,3,3
15,8,0.0126730552516554,0.289651777365585,3,2
12,5,0.00702624200690856,0.0943378518769061,3,7
24,5,0.0105744514164779,0.217064543588122,3,2
23,8,0.0152800814695168,0.379824499995662,3,8
22,6,0.00857622105640813,0.147949062211266,3,9
18,4,0.00492614812175968,0.0216990797367474,3,4
25,7,0.0095380898902934,0.181218513423614,3,2
16,10,0.0132575799205637,0.309869518360588,3,3
19,8,0.0129387728458831,0.298842509226302,3,2
29,6,0.0109863356294532,0.231310936907016,3,1
28,5,0.00917871512793572,0.168788335106147,3,5
27,4,0.00623987338963815,0.067138662730166,3,8
34,7,0.0143724787234163,0.348432022957378,3,3
31,5,0.00768348253062029,0.117070713955494,3,5
33,6,0.00907997249609771,0.165372990875433,3,10
35,5,0.0095505932960062,0.181650985535919,3,11
26,7,0.0142784016115724,0.345178051342511,3,8
20,5,0.00598673745266261,0.058383109573004,3,2
36,4,0.0062994099371691,0.0691979333850136,3,6
32,6,0.00882393303830785,0.156517009738204,3,12
30,6,0.0118030041662177,0.259558150127139,3,1
40,4,0.00687288607213636,0.0890335238746992,3,12
38,5,0.0116388288894265,0.253879598988917,3,11
37,7,0.0108688729506818,0.22724809723181,3,6
43,8,0.0145522604980216,0.354650377028527,3,5
46,7,0.00921295159197254,0.169972517740858,3,4
45,7,0.0132372387174213,0.309165949805598,3,12
50,6,0.00840706618376352,0.142098275092975,3,5
39,5,0.0104112695215697,0.211420351885332,3,7
41,5,0.0100038066611169,0.1973268858335,3,13
44,6,0.00913166984103825,0.167161116485408,3,13
53,5,0.0111864027980313,0.238230929186335,3,5
55,5,0.0105190203507588,0.215147274755176,3,13
58,5,0.00932140477660193,0.173723733923086,3,14
51,4,0.0068080870487079,0.0867922328871818,3,4
60,4,0.00907379039327907,0.165159162169409,3,3
59,5,0.00949358358712068,0.179679114048269,3,2
52,4,0.00702529541202493,0.094305110726357,3,9
68,4,0.00963306552356094,0.184503563407605,3,10
69,4,0.00727111815490726,0.102807712602098,3,9
66,5,0.0100496067505004,0.19891103513285,3,13
71,8,0.0142924712219737,0.345664695883152,3,13
49,4,0.00743719808851909,0.108552142667817,3,2
65,4,0.00442962097242835,0.00452502732093181,3,2
48,4,0.0087024510808706,0.152315149865259,3,8
73,6,0.0122011470927585,0.273329255088078,3,2
78,5,0.00741353130108789,0.107733547655631,3,2
84,5,0.00783212303731988,0.122211943104011,3,5
61,4,0.0090126822635235,0.16304553308615,3,14
42,4,0.00785229407166917,0.122909625802051,3,3
57,5,0.0098167044996784,0.190855331695956,3,3
91,4,0.00463431174679568,0.0116049424731093,3,6
72,4,0.00810865628020752,0.131776770353565,3,9
82,4,0.00973309122369726,0.187963286847468,3,2
79,4,0.00592603684537182,0.0562835760174113,3,8
98,4,0.00581927674204576,0.0525909207156643,3,15
17,3,0.00515619586233189,0.0296560503878947,3,6
21,3,0.00601683048169385,0.0594239776476483,3,2
47,3,0.00682613390608212,0.0874164438188558,3,11
54,3,0.00596724352299107,0.0577088468052578,3,7
56,3,0.00639085200122624,0.0723607630575555,3,5
62,3,0.00659613565951418,0.0794611850834111,3,5
63,3,0.00628299284490261,0.0686300933313939,3,3
64,3,0.00490085237243158,0.020824141628241,3,8
67,3,0.00642948034059476,0.0736968533920806,3,12
70,3,0.00558428314390486,0.0444628810358845,3,10
74,3,0.00496088707098632,0.0229006425026346,3,1
75,3,0.00821165750383285,0.135339412226858,3,13
76,3,0.00488007741093722,0.0201055700896632,3,2
77,3,0.0068507796705711,0.0882689000274068,3,13
80,3,0.00455519159300053,0.00886830728557682,3,2
81,3,0.00504087016910966,0.0256671255064331,3,13
83,3,0.00429879576810793,0,3,2
85,3,0.00503518293904848,0.0254704136301481,3,6
86,3,0.00487098689713039,0.019791144260551,3,1
87,3,0.00470361815431082,0.0140021364171261,3,13
88,3,0.00747083925662373,0.109715735001361,3,7
89,3,0.00758636344114928,0.11371152536853,3,14
90,3,0.00440004584645079,0.0035020726558606,3,13
92,3,0.00449415663709357,0.00675720916464894,3,5
93,3,0.0058263716019415,0.0528363201785063,3,3
94,3,0.00581371357305251,0.0523984999064158,3,12
95,3,0.00644128887720746,0.0741052911321191,3,9
96,3,0.00438552103537915,0.00299968347732317,3,11
97,3,0.00636061009892039,0.0713147457027056,3,2
99,3,0.00683594752452218,0.0877558806405994,3,15
100,3,0.00734046150767255,0.105206184421178,3,1
