region	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	term_simple	direction
DLPFC	REACTOME_REGULATION_OF_MITF_M_DEPENDENT_GENES_INVOLVED_IN_APOPTOSIS	REACTOME_REGULATION_OF_MITF_M_DEPENDENT_GENES_INVOLVED_IN_APOPTOSIS	18	0.6612880384992594	2.0905237878296785	1.1926577583360841e-4	0.001107810964790027	6.824816561301506e-4	4795	tags=72%, list=20%, signal=58%	ENSG00000187098/ENSG00000171791/ENSG00000090905/ENSG00000134698/ENSG00000184486/ENSG00000116478/ENSG00000078687/ENSG00000100354/ENSG00000126070/ENSG00000092847/ENSG00000100697/ENSG00000155363/ENSG00000140379	REGULATION OF MITF M DEPENDENT GENES INVOLVED IN APOPTOSIS	Up
HCN	REACTOME_TRANSLATION	REACTOME_TRANSLATION	354	-0.633899836198038	-3.555936233011265	4.615925041006014e-64	6.07917327900492e-61	3.483808688843486e-61	3823	tags=66%, list=22%, signal=52%	ENSG00000071082/ENSG00000171858/ENSG00000198862/ENSG00000164022/ENSG00000197170/ENSG00000154719/ENSG00000125901/ENSG00000159111/ENSG00000118363/ENSG00000137154/ENSG00000112339/ENSG00000167881/ENSG00000072401/ENSG00000233927/ENSG00000134419/ENSG00000163319/ENSG00000239789/ENSG00000109332/ENSG00000106305/ENSG00000114850/ENSG00000204568/ENSG00000173141/ENSG00000266472/ENSG00000162396/ENSG00000175110/ENSG00000130811/ENSG00000142534/ENSG00000186468/ENSG00000135900/ENSG00000112651/ENSG00000120705/ENSG00000100804/ENSG00000172053/ENSG00000107581/ENSG00000197728/ENSG00000128626/ENSG00000185608/ENSG00000179271/ENSG00000116251/ENSG00000150991/ENSG00000172586/ENSG00000106263/ENSG00000181610/ENSG00000125977/ENSG00000172809/ENSG00000037241/ENSG00000100664/ENSG00000163902/ENSG00000070785/ENSG00000137547/ENSG00000134684/ENSG00000174547/ENSG00000111639/ENSG00000138326/ENSG00000111361/ENSG00000004779/ENSG00000180992/ENSG00000112249/ENSG00000144867/ENSG00000175166/ENSG00000118705/ENSG00000125445/ENSG00000143436/ENSG00000151247/ENSG00000137818/ENSG00000100387/ENSG00000143742/ENSG00000142541/ENSG00000136897/ENSG00000277791/ENSG00000132313/ENSG00000143374/ENSG00000109475/ENSG00000198015/ENSG00000103363/ENSG00000161057/ENSG00000197345/ENSG00000167862/ENSG00000063046/ENSG00000090861/ENSG00000166562/ENSG00000100129/ENSG00000158042/ENSG00000135972/ENSG00000048544/ENSG00000171863/ENSG00000184110/ENSG00000198242/ENSG00000204394/ENSG00000103035/ENSG00000105193/ENSG00000178952/ENSG00000172172/ENSG00000156482/ENSG00000116874/ENSG00000108344/ENSG00000115268/ENSG00000174444/ENSG00000013275/ENSG00000147604/ENSG00000104408/ENSG00000105364/ENSG00000164587/ENSG00000179115/ENSG00000198938/ENSG00000145592/ENSG00000136930/ENSG00000063177/ENSG00000175756/ENSG00000142507/ENSG00000156976/ENSG00000177600/ENSG00000134056/ENSG00000197756/ENSG00000156508/ENSG00000144713/ENSG00000134001/ENSG00000108298/ENSG00000131508/ENSG00000149806/ENSG00000008988/ENSG00000178982/ENSG00000173692/ENSG00000070756/ENSG00000149100/ENSG00000106105/ENSG00000101182/ENSG00000185627/ENSG00000112306/ENSG00000169288/ENSG00000182899/ENSG00000065427/ENSG00000113048/ENSG00000110700/ENSG00000163636/ENSG00000067704/ENSG00000100353/ENSG00000174780/ENSG00000134440/ENSG00000164347/ENSG00000182934/ENSG00000221983/ENSG00000170889/ENSG00000115233/ENSG00000118181/ENSG00000116120/ENSG00000105372/ENSG00000242485/ENSG00000114686/ENSG00000154582/ENSG00000100764/ENSG00000166986/ENSG00000130255/ENSG00000162910/ENSG00000143947/ENSG00000164062/ENSG00000133706/ENSG00000175390/ENSG00000083845/ENSG00000197958/ENSG00000100316/ENSG00000129128/ENSG00000108094/ENSG00000165916/ENSG00000114902/ENSG00000143314/ENSG00000061794/ENSG00000163923/ENSG00000099341/ENSG00000161016/ENSG00000106803/ENSG00000136942/ENSG00000136628/ENSG00000155463/ENSG00000086504/ENSG00000031698/ENSG00000116221/ENSG00000198918/ENSG00000122406/ENSG00000166441/ENSG00000008018/ENSG00000149273/ENSG00000174748/ENSG00000147677/ENSG00000103356/ENSG00000159377/ENSG00000084623/ENSG00000229117/ENSG00000163682/ENSG00000145425/ENSG00000132432/ENSG00000105640/ENSG00000114942/ENSG00000132676/ENSG00000143106/ENSG00000089009/ENSG00000180879/ENSG00000198034/ENSG00000182180/ENSG00000108107/ENSG00000231500/ENSG00000114391/ENSG00000100883/ENSG00000125691/ENSG00000132591/ENSG00000148303/ENSG00000100519/ENSG00000168028/ENSG00000142676/ENSG00000173674/ENSG00000177954/ENSG00000142937/ENSG00000163479/ENSG00000106682/ENSG00000140105/ENSG00000126067/ENSG00000131469/ENSG00000164163/ENSG00000122026/ENSG00000165280/ENSG00000096080/ENSG00000196305/ENSG00000100567/ENSG00000167526/ENSG00000130741/ENSG00000198755/ENSG00000089157/ENSG00000162244/ENSG00000147403/ENSG00000185414/ENSG00000244038/ENSG00000140988	TRANSLATION	Down
HCN	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	113	-0.7418463204282338	-3.5485574545807657	3.870053161318625e-36	2.5484300067283148e-33	1.460435850876555e-33	2850	tags=80%, list=17%, signal=67%	ENSG00000107581/ENSG00000197728/ENSG00000116251/ENSG00000106263/ENSG00000125977/ENSG00000172809/ENSG00000037241/ENSG00000100664/ENSG00000070785/ENSG00000138326/ENSG00000111361/ENSG00000151247/ENSG00000137818/ENSG00000142541/ENSG00000109475/ENSG00000063046/ENSG00000100129/ENSG00000171863/ENSG00000184110/ENSG00000198242/ENSG00000105193/ENSG00000156482/ENSG00000115268/ENSG00000174444/ENSG00000147604/ENSG00000104408/ENSG00000164587/ENSG00000145592/ENSG00000063177/ENSG00000156976/ENSG00000177600/ENSG00000197756/ENSG00000144713/ENSG00000134001/ENSG00000108298/ENSG00000149806/ENSG00000008988/ENSG00000178982/ENSG00000070756/ENSG00000149100/ENSG00000112306/ENSG00000182899/ENSG00000110700/ENSG00000100353/ENSG00000221983/ENSG00000170889/ENSG00000118181/ENSG00000105372/ENSG00000130255/ENSG00000143947/ENSG00000175390/ENSG00000083845/ENSG00000197958/ENSG00000100316/ENSG00000163923/ENSG00000161016/ENSG00000136942/ENSG00000198918/ENSG00000122406/ENSG00000166441/ENSG00000149273/ENSG00000174748/ENSG00000147677/ENSG00000084623/ENSG00000229117/ENSG00000163682/ENSG00000145425/ENSG00000105640/ENSG00000089009/ENSG00000198034/ENSG00000108107/ENSG00000231500/ENSG00000114391/ENSG00000125691/ENSG00000148303/ENSG00000168028/ENSG00000142676/ENSG00000173674/ENSG00000177954/ENSG00000142937/ENSG00000106682/ENSG00000131469/ENSG00000122026/ENSG00000167526/ENSG00000130741/ENSG00000198755/ENSG00000089157/ENSG00000162244/ENSG00000147403/ENSG00000140988	EUKARYOTIC TRANSLATION INITIATION	Down
HCN	REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	106	-0.7397273411385115	-3.503109165949075	3.0199216782871185e-33	6.628728083840225e-31	3.798743584792744e-31	2539	tags=85%, list=15%, signal=73%	ENSG00000118363/ENSG00000137154/ENSG00000167881/ENSG00000233927/ENSG00000134419/ENSG00000114850/ENSG00000142534/ENSG00000186468/ENSG00000197728/ENSG00000116251/ENSG00000172809/ENSG00000037241/ENSG00000163902/ENSG00000138326/ENSG00000144867/ENSG00000118705/ENSG00000137818/ENSG00000143742/ENSG00000142541/ENSG00000109475/ENSG00000166562/ENSG00000171863/ENSG00000198242/ENSG00000105193/ENSG00000156482/ENSG00000115268/ENSG00000174444/ENSG00000147604/ENSG00000164587/ENSG00000145592/ENSG00000063177/ENSG00000177600/ENSG00000197756/ENSG00000144713/ENSG00000108298/ENSG00000149806/ENSG00000008988/ENSG00000112306/ENSG00000182899/ENSG00000110700/ENSG00000174780/ENSG00000182934/ENSG00000221983/ENSG00000170889/ENSG00000118181/ENSG00000105372/ENSG00000130255/ENSG00000143947/ENSG00000083845/ENSG00000197958/ENSG00000100316/ENSG00000129128/ENSG00000114902/ENSG00000163923/ENSG00000161016/ENSG00000106803/ENSG00000136942/ENSG00000198918/ENSG00000122406/ENSG00000166441/ENSG00000149273/ENSG00000174748/ENSG00000229117/ENSG00000163682/ENSG00000145425/ENSG00000132432/ENSG00000105640/ENSG00000089009/ENSG00000180879/ENSG00000198034/ENSG00000108107/ENSG00000231500/ENSG00000114391/ENSG00000100883/ENSG00000125691/ENSG00000148303/ENSG00000168028/ENSG00000142676/ENSG00000177954/ENSG00000142937/ENSG00000163479/ENSG00000131469/ENSG00000122026/ENSG00000167526/ENSG00000198755/ENSG00000089157/ENSG00000162244/ENSG00000147403/ENSG00000244038/ENSG00000140988	SRP DEPENDENT COTRANSLATIONAL PROTEIN TARGETING TO MEMBRANE	Down
HCN	REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	86	-0.7494000286285843	-3.4480680224602738	5.639432647844195e-28	5.305094855150575e-26	3.040205419928036e-26	2677	tags=79%, list=16%, signal=67%	ENSG00000116251/ENSG00000172809/ENSG00000037241/ENSG00000138326/ENSG00000137818/ENSG00000142541/ENSG00000109475/ENSG00000171863/ENSG00000198242/ENSG00000105193/ENSG00000156482/ENSG00000115268/ENSG00000174444/ENSG00000147604/ENSG00000164587/ENSG00000145592/ENSG00000063177/ENSG00000177600/ENSG00000197756/ENSG00000156508/ENSG00000144713/ENSG00000108298/ENSG00000149806/ENSG00000008988/ENSG00000112306/ENSG00000182899/ENSG00000110700/ENSG00000221983/ENSG00000170889/ENSG00000118181/ENSG00000105372/ENSG00000130255/ENSG00000143947/ENSG00000083845/ENSG00000197958/ENSG00000100316/ENSG00000163923/ENSG00000161016/ENSG00000136942/ENSG00000198918/ENSG00000122406/ENSG00000166441/ENSG00000149273/ENSG00000174748/ENSG00000229117/ENSG00000163682/ENSG00000145425/ENSG00000105640/ENSG00000114942/ENSG00000089009/ENSG00000198034/ENSG00000108107/ENSG00000231500/ENSG00000114391/ENSG00000125691/ENSG00000148303/ENSG00000168028/ENSG00000142676/ENSG00000177954/ENSG00000142937/ENSG00000131469/ENSG00000122026/ENSG00000167526/ENSG00000198755/ENSG00000089157/ENSG00000162244/ENSG00000147403/ENSG00000140988	EUKARYOTIC TRANSLATION ELONGATION	Down
HCN	REACTOME_RESPONSE_TO_METAL_IONS	REACTOME_RESPONSE_TO_METAL_IONS	11	0.8885570224090147	2.5127350905277175	5.1597199458153255e-8	5.350670211526601e-7	3.0663234157891325e-7	1377	tags=82%, list=8%, signal=75%	ENSG00000159176/ENSG00000198417/ENSG00000125144/ENSG00000205358/ENSG00000169715/ENSG00000205364/ENSG00000125148/ENSG00000187193/ENSG00000188786	RESPONSE TO METAL IONS	Up
HCN	REACTOME_NOTCH_HLH_TRANSCRIPTION_PATHWAY	REACTOME_NOTCH_HLH_TRANSCRIPTION_PATHWAY	27	0.5651953458182069	2.0673398240658742	3.922351710649484e-4	0.0019410324653731893	0.001112352857509153	3623	tags=63%, list=21%, signal=50%	ENSG00000196498/ENSG00000005339/ENSG00000148400/ENSG00000134250/ENSG00000204301/ENSG00000068024/ENSG00000108773/ENSG00000161021/ENSG00000196782/ENSG00000184384/ENSG00000147099/ENSG00000108840/ENSG00000116478/ENSG00000168214/ENSG00000101849/ENSG00000114166/ENSG00000141027	NOTCH HLH TRANSCRIPTION PATHWAY	Up
HCN	REACTOME_FORMATION_OF_WDR5_CONTAINING_HISTONE_MODIFYING_COMPLEXES	REACTOME_FORMATION_OF_WDR5_CONTAINING_HISTONE_MODIFYING_COMPLEXES	41	0.4972173887096347	2.032161000897738	1.1626046271341224e-4	6.275206122687046e-4	3.596149774181043e-4	3450	tags=51%, list=20%, signal=41%	ENSG00000176476/ENSG00000099381/ENSG00000114982/ENSG00000280789/ENSG00000157212/ENSG00000154832/ENSG00000147162/ENSG00000198646/ENSG00000055609/ENSG00000167548/ENSG00000120071/ENSG00000103510/ENSG00000118058/ENSG00000108773/ENSG00000272333/ENSG00000011243/ENSG00000139718/ENSG00000172534/ENSG00000147050/ENSG00000114166/ENSG00000149474	FORMATION OF WDR5 CONTAINING HISTONE MODIFYING COMPLEXES	Up
HCN	REACTOME_REGULATION_OF_BETA_CELL_DEVELOPMENT	REACTOME_REGULATION_OF_BETA_CELL_DEVELOPMENT	22	0.5874788576328215	2.026177695034381	7.210437187081116e-4	0.003263280335184134	0.0018700971109195733	3439	tags=59%, list=20%, signal=47%	ENSG00000100393/ENSG00000005339/ENSG00000148400/ENSG00000007372/ENSG00000108773/ENSG00000163623/ENSG00000161021/ENSG00000196782/ENSG00000184384/ENSG00000168214/ENSG00000106633/ENSG00000105221/ENSG00000114166	REGULATION OF BETA CELL DEVELOPMENT	Up
PCC	REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT	REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT	242	-0.5779679678362177	-3.3120833796532736	3.4505317105486297e-35	2.2825267265279187e-32	1.5799803095670045e-32	3052	tags=55%, list=17%, signal=46%	ENSG00000119421/ENSG00000140990/ENSG00000164951/ENSG00000176340/ENSG00000204370/ENSG00000214756/ENSG00000099795/ENSG00000110435/ENSG00000150991/ENSG00000115944/ENSG00000165264/ENSG00000166411/ENSG00000139180/ENSG00000247077/ENSG00000154079/ENSG00000130414/ENSG00000135070/ENSG00000101365/ENSG00000178057/ENSG00000163541/ENSG00000178741/ENSG00000134333/ENSG00000105341/ENSG00000170906/ENSG00000143252/ENSG00000101019/ENSG00000147576/ENSG00000196636/ENSG00000099624/ENSG00000102078/ENSG00000180185/ENSG00000112695/ENSG00000147123/ENSG00000124172/ENSG00000120053/ENSG00000183648/ENSG00000177646/ENSG00000127184/ENSG00000154723/ENSG00000178449/ENSG00000074582/ENSG00000154518/ENSG00000067829/ENSG00000147684/ENSG00000067992/ENSG00000105953/ENSG00000213619/ENSG00000155463/ENSG00000136003/ENSG00000189043/ENSG00000140374/ENSG00000163626/ENSG00000137806/ENSG00000125166/ENSG00000075239/ENSG00000014919/ENSG00000184752/ENSG00000145494/ENSG00000131495/ENSG00000004779/ENSG00000109390/ENSG00000159199/ENSG00000113013/ENSG00000173915/ENSG00000014641/ENSG00000003509/ENSG00000168291/ENSG00000115520/ENSG00000164405/ENSG00000158864/ENSG00000167792/ENSG00000169020/ENSG00000011295/ENSG00000137038/ENSG00000131828/ENSG00000150768/ENSG00000205138/ENSG00000111775/ENSG00000117118/ENSG00000010256/ENSG00000126267/ENSG00000167863/ENSG00000146701/ENSG00000131143/ENSG00000067225/ENSG00000164919/ENSG00000134056/ENSG00000173660/ENSG00000091140/ENSG00000143158/ENSG00000164258/ENSG00000179091/ENSG00000168569/ENSG00000087299/ENSG00000144120/ENSG00000183978/ENSG00000135940/ENSG00000127838/ENSG00000172115/ENSG00000156411/ENSG00000213585/ENSG00000136143/ENSG00000100412/ENSG00000060762/ENSG00000152234/ENSG00000131174/ENSG00000125356/ENSG00000110955/ENSG00000184076/ENSG00000105379/ENSG00000161281/ENSG00000023228/ENSG00000165629/ENSG00000168653/ENSG00000091483/ENSG00000110074/ENSG00000140740/ENSG00000124767/ENSG00000112992/ENSG00000108528/ENSG00000184983/ENSG00000082212/ENSG00000128609/ENSG00000119013/ENSG00000062485/ENSG00000186687/ENSG00000182054/ENSG00000116459/ENSG00000136521/ENSG00000244005/ENSG00000126602/ENSG00000181061	AEROBIC RESPIRATION AND RESPIRATORY ELECTRON TRANSPORT	Down
