node,degree,pagerank,pagerank_norm,kcore,membership_infomap
V1,25,0.037396340481799,1,3,1
V2,16,0.0239990700201793,0.580997008248742,3,1
V3,13,0.0198674515166811,0.451779603949858,3,1
V4,24,0.035797074845924,0.949982566377511,3,1
V5,14,0.0213920899720716,0.499463053797179,3,1
V6,12,0.018321433727162,0.403427510068874,3,1
V7,14,0.0211720710810172,0.492581907831088,3,1
V8,8,0.0128651482019069,0.23278081263297,3,1
V9,11,0.0169794233872877,0.361455800310579,3,1
V10,5,0.00858664526909044,0.098969560990156,3,1
V11,12,0.0189116028821689,0.421885198319297,3,1
V12,18,0.0274537268174992,0.689042265504514,3,1
V13,4,0.00694208398640145,0.0475354946600754,3,1
V14,12,0.0188852248319512,0.421060218187005,3,1
V15,7,0.0111218589999142,0.178259005880233,3,1
V16,6,0.00963306842996014,0.13169670763531,3,1
V17,6,0.00989581720569854,0.139914241455259,3,1
V18,7,0.0116817511351975,0.195769772749778,3,1
V19,5,0.00852184684833993,0.0969429741392744,3,1
V20,9,0.0143217625032304,0.278336790011398,3,1
V21,9,0.0145523185715754,0.285547488838424,3,1
V22,11,0.0177596023750043,0.385856093705508,3,1
V23,10,0.0160509464911721,0.332417452659181,3,1
V24,6,0.0102864154496774,0.152130299440264,3,1
V25,9,0.0150721454762621,0.301805205578599,3,1
V26,7,0.0116006923082484,0.193234637619319,3,1
V27,3,0.00542217627446327,0,3,1
V28,4,0.00713159370153279,0.0534624585019594,3,1
V29,8,0.0133188717103959,0.246971129088057,3,1
V30,4,0.0070320165624846,0.0503481585189331,3,1
V31,6,0.0105372865580302,0.159976356235558,3,1
V32,11,0.0184543422561016,0.407584257625363,3,1
V33,4,0.00723078361198295,0.0565646478135224,3,1
V34,4,0.00712031083187416,0.0531095839253023,3,1
V35,5,0.00846888996190124,0.0952867342421096,3,1
V36,6,0.0105303433305788,0.159759205056676,3,1
V37,5,0.00854610757854519,0.0977017345574654,3,1
V38,3,0.00562598926063462,0.00637430222881606,3,1
V39,9,0.01499839777551,0.299498727752505,3,1
V40,5,0.00859933745501983,0.0993665122864301,3,1
V41,5,0.00909092746587423,0.114741113094342,3,1
V42,4,0.00722169670868642,0.0562804526352652,3,1
V43,6,0.0106254055607275,0.162732300132193,3,1
V44,5,0.00881101984755897,0.105986932171888,3,1
V45,6,0.0103229568804349,0.153273141846418,3,1
V46,4,0.00750643327993241,0.0651856602710186,3,1
V47,5,0.0088580553447865,0.107457979137261,3,1
V48,7,0.0124692022501411,0.220397503746512,3,1
V49,5,0.00861954076780932,0.0999983759579395,3,1
V50,4,0.00717304581077248,0.0547588836085203,3,1
V51,6,0.0106840727149687,0.164567130086178,3,1
V52,3,0.00545219233090964,0.000938759688970416,3,1
V53,5,0.00879797809678945,0.105579048147619,3,1
V54,7,0.0118700549874779,0.201659022928748,3,1
V55,3,0.00559994896812425,0.00555988555348042,3,1
V56,4,0.00743054178921393,0.0628121348763791,3,1
V57,5,0.00882450067634601,0.106408548471211,3,1
V58,5,0.00881312437667651,0.106052751847546,3,1
V59,3,0.00549629839512453,0.00231818790260211,3,1
V60,4,0.00753730858852456,0.0661512932862223,3,1
V61,4,0.00727044926103047,0.0578052009297918,3,1
V62,4,0.00713099079858007,0.0534436025609936,3,1
V63,6,0.0107181440305094,0.165632719019786,3,1
V64,4,0.00733010086401514,0.0596708197649822,3,1
V65,4,0.00774057665313889,0.0725085529567564,3,1
V66,4,0.00786512129664264,0.0764037178998067,3,1
V67,5,0.00867096559385805,0.101606700282393,3,1
V68,3,0.00566508532294885,0.00759704137723328,3,1
V69,3,0.00592712090940316,0.0157922700235598,3,1
V70,4,0.00703573863209933,0.050464567179081,3,1
V71,3,0.00627172113529192,0.0265697284632618,3,1
V72,3,0.00593713729418323,0.0161055349681921,3,1
V73,3,0.00577575592732972,0.011058292269148,3,1
V74,3,0.00561400827799931,0.00599959399382904,3,1
V75,3,0.00551819413004796,0.00300298250056092,3,1
V76,3,0.00555711881854756,0.00422036188997028,3,1
V77,3,0.0058412964007434,0.0131080870030676,3,1
V78,4,0.00763339664611949,0.0691564713722496,3,1
V79,3,0.00595371174019577,0.0166239049216665,3,1
V80,3,0.00562825391032481,0.0064451297155175,3,1
V81,3,0.00569403969561305,0.00850259663980218,3,1
V82,3,0.00595536626876138,0.0166756507172683,3,1
V83,5,0.00909830249021615,0.114971768829206,3,1
V84,3,0.00566567768464188,0.00761556763765993,3,1
V85,4,0.00748840799906723,0.0646219150938716,3,1
V86,3,0.00594250505132104,0.0162734129181207,3,1
V87,3,0.00590366883727671,0.0150588005894762,3,1
V88,3,0.00567942287224575,0.00804545182524146,3,1
V89,3,0.0056626124483401,0.00751970160401157,3,1
V90,3,0.00577960949633972,0.0111788136058438,3,1
V91,3,0.00542384474560982,5.21818533153947e-05,3,1
V92,3,0.00600746438844311,0.0183050324688569,3,1
V93,3,0.00583199975089269,0.0128173319487549,3,1
V94,3,0.00571049483066285,0.00901723511301153,3,1
V95,3,0.00587756306438558,0.0142423359988198,3,1
V96,3,0.00597560322952237,0.0173085667375203,3,1
V97,3,0.00609720275438902,0.0211116223569929,3,1
V98,3,0.00600467226311713,0.0182177080494325,3,1
V99,3,0.00608177462857863,0.0206291038551693,3,1
V100,3,0.00574651533221195,0.010143785327601,3,1
