node,degree,pagerank,kcore,membership_infomap
V1,5,0.0101891832205655,3,1
V2,4,0.00934947403149213,3,2
V3,5,0.0109563457500076,3,3
V4,2,0.00537791323400697,2,4
V5,5,0.0108425205166455,3,5
V6,7,0.0133206947145755,3,6
V7,5,0.0101075451157593,3,7
V8,7,0.0137102268906421,3,1
V9,4,0.00841299950928995,3,7
V10,1,0.00354863710526532,1,8
V11,2,0.00528693723100088,2,2
V12,4,0.00844266912648963,3,9
V13,6,0.0120324485648633,3,1
V14,3,0.00677841575474712,3,7
V15,4,0.00855308811016384,3,9
V16,3,0.00741793115305061,3,8
V17,2,0.00532184454399268,2,3
V18,4,0.00868499866951615,3,10
V19,4,0.00824466455397073,3,6
V20,4,0.00956732466968997,2,11
V21,5,0.0104638231277786,3,5
V22,5,0.0108288545231302,3,11
V23,2,0.00521592128922488,2,2
V24,3,0.00680429770494175,3,4
V25,5,0.0120508065015607,3,8
V26,5,0.0100973710080944,3,7
V27,9,0.0172363345586784,3,7
V28,2,0.00512817650759139,2,4
V29,1,0.00346607444080574,1,4
V30,2,0.00551572025760041,2,3
V31,5,0.010585763043685,3,1
V32,5,0.0103305750395665,3,12
V33,5,0.0105854519153567,3,7
V34,5,0.0114077879826089,3,10
V35,2,0.00537396176124125,2,11
V36,5,0.0103191868241074,3,9
V37,5,0.0104802827789628,3,6
V38,8,0.0153710865686244,3,1
V39,5,0.0107325755006764,3,9
V40,6,0.0127214576103929,3,12
V41,7,0.0134852044394673,3,6
V42,3,0.00761575983265813,2,12
V43,5,0.0108302791403193,3,8
V44,5,0.0101910501842935,3,7
V45,8,0.0159429379623126,3,9
V46,5,0.0103050418963361,3,1
V47,2,0.00554562182421216,2,12
V48,5,0.010752955931074,3,9
V49,6,0.0122527944653362,3,2
V50,8,0.0165615808132165,3,2
V51,5,0.0103407188129617,3,7
V52,6,0.0133258108585343,3,12
V53,4,0.00894793020534961,3,9
V54,6,0.0118961218626956,3,1
V55,3,0.00759932287093809,2,3
V56,5,0.0115033061413615,3,3
V57,6,0.0124538399540186,3,9
V58,3,0.00696577490226969,3,2
V59,4,0.00914624648690716,3,4
V60,10,0.0200019028100617,3,2
V61,2,0.00510238049411446,2,12
V62,2,0.00517731196326227,2,5
V63,1,0.0033462931911474,1,9
V64,5,0.0108883111028442,3,11
V65,3,0.00712334527165333,3,8
V66,3,0.00673614828742001,3,2
V67,6,0.0124044996574331,3,8
V68,7,0.0143228483454035,3,4
V69,2,0.00536713996774165,2,11
V70,6,0.0124457888576599,3,13
V71,4,0.00920589801327355,3,2
V72,4,0.00893864167841982,3,12
V73,6,0.0129464715912885,3,5
V74,2,0.0051825036620517,2,7
V75,6,0.0131252414167324,3,7
V76,9,0.0173478093992195,3,7
V77,5,0.01045745194183,3,13
V78,3,0.0073182365007018,2,9
V79,7,0.0135381603554615,3,6
V80,4,0.00910275696724328,3,4
V81,5,0.0115651437694455,3,4
V82,7,0.0136996634773473,3,9
V83,2,0.00516110313004105,2,2
V84,4,0.0084477494807667,3,1
V85,1,0.00343932395704352,1,10
V86,3,0.00717128750847707,3,13
V87,4,0.00866153414522949,3,7
V88,5,0.0107240850667526,3,7
V89,3,0.00668872096566011,3,6
V90,4,0.00879755575875896,3,13
V91,2,0.00546132354682453,2,12
V92,6,0.013032657819864,3,9
V93,8,0.0154906112550018,3,12
V94,4,0.00842021173700415,3,6
V95,4,0.0086882111327498,3,9
V96,9,0.0174131097206345,3,6
V97,12,0.0236136869391018,3,9
V98,10,0.0211785176389271,3,4
V99,4,0.00878250588217045,3,3
V100,3,0.00696018559861025,3,4
