node,degree,pagerank,pagerank_norm,kcore,membership_infomap
V1,27,0.0405464149266658,1,3,1
V2,12,0.0187284364497547,0.380028606241587,3,1
V3,26,0.0391683933525428,0.960842662080618,3,1
V4,19,0.0287036979023742,0.663481848824519,3,1
V5,13,0.0200889998509865,0.418689859347645,3,1
V6,23,0.0349027805833641,0.839632628963204,3,1
V7,16,0.0252553232896275,0.565494144916565,3,1
V8,5,0.00834574776491931,0.0849980660974114,3,1
V9,8,0.0129487969923869,0.215796565514379,3,1
V10,10,0.0159905901229727,0.302231004373586,3,1
V11,10,0.0155166455281076,0.288763574686929,3,1
V12,20,0.0312796705962441,0.736679710990905,3,1
V13,14,0.0216504514796959,0.463059476063591,3,1
V14,9,0.0143898624881454,0.25674533557793,3,1
V15,7,0.0115550119320703,0.176191298355526,3,1
V16,3,0.00550895580274606,0.00438886261632882,3,1
V17,6,0.0100321784307479,0.13291903968702,3,1
V18,8,0.0131112065320665,0.220411533339258,3,1
V19,7,0.011489893805829,0.174340926400697,3,1
V20,5,0.00874252975647556,0.0962728725412666,3,1
V21,7,0.0115561753949276,0.176224358874401,3,1
V22,7,0.0119387193918825,0.187094583868758,3,1
V23,6,0.0101475782714526,0.136198197751865,3,1
V24,7,0.0117953300234618,0.183020086009848,3,1
V25,7,0.0118823985267433,0.185494191545748,3,1
V26,5,0.00860073422134318,0.0922436644440191,3,1
V27,10,0.0163328426339233,0.311956321797283,3,1
V28,3,0.0056625259541371,0.00875265373924827,3,1
V29,5,0.00862707077316708,0.0929920339026439,3,1
V30,4,0.00701018107784504,0.047047110131487,3,1
V31,4,0.00718374815845703,0.0519791264038226,3,1
V32,6,0.0103455632394931,0.141824063443738,3,1
V33,6,0.0102183458269969,0.138209101745105,3,1
V34,8,0.0133816124137239,0.228095284219706,3,1
V35,3,0.00540850839299456,0.00153458715313862,3,1
V36,3,0.00535450333757555,0,3,1
V37,5,0.00840699735998542,0.0867385113389567,3,1
V38,5,0.0086038049746871,0.0923309218053063,3,1
V39,3,0.00557340084281504,0.00622010841000593,3,1
V40,3,0.00584761317364858,0.0140120219052236,3,1
V41,4,0.00699537006301521,0.0466262459567084,3,1
V42,4,0.0073120836781123,0.0556258598110258,3,1
V43,6,0.0103632769291349,0.142327408924045,3,1
V44,3,0.00559479613901603,0.00682806902467242,3,1
V45,4,0.00736906061042819,0.0572448946898684,3,1
V46,5,0.00890482618893406,0.100884626354288,3,1
V47,5,0.00916347496634568,0.108234291823776,3,1
V48,8,0.0138757754661954,0.242137233922281,3,1
V49,4,0.00692491902294569,0.0446243359470411,3,1
V50,3,0.00590805350050555,0.0157294712885561,3,1
V51,8,0.0136539167931996,0.235832982093444,3,1
V52,5,0.00872213389685348,0.0956933115370156,3,1
V53,4,0.00722705811614416,0.0532098057199347,3,1
V54,3,0.00597495456580942,0.0176305065629403,3,1
V55,6,0.0102822529845223,0.140025063272618,3,1
V56,3,0.00549863665431699,0.00409563761197107,3,1
V57,5,0.0086426487068598,0.0934346905526892,3,1
V58,3,0.0058050001008974,0.0128011450068971,3,1
V59,4,0.00725837687609891,0.0540997477134369,3,1
V60,5,0.00904196213367107,0.104781429299756,3,1
V61,4,0.0072345056052731,0.0534214307437723,3,1
V62,3,0.00595001951564847,0.0169219616435252,3,1
V63,3,0.00574586466965565,0.0111207750419965,3,1
V64,4,0.00724123249579358,0.0536125795111091,3,1
V65,3,0.00571086692191765,0.0101262923282797,3,1
V66,6,0.0103608267539069,0.142257785674914,3,1
V67,4,0.00744374941653026,0.0593672234503562,3,1
V68,4,0.00714536581305797,0.0508884682478459,3,1
V69,3,0.00591276206729747,0.0158632681350275,3,1
V70,3,0.00576492475645331,0.0116623792327606,3,1
V71,7,0.0123147474708314,0.197779655010657,3,1
V72,3,0.00558137560411538,0.00644671619970096,3,1
V73,4,0.00734216687291867,0.0564806924543225,3,1
V74,5,0.00917866604190028,0.108665955659829,3,1
V75,3,0.00551325321492727,0.00451097624946667,3,1
V76,3,0.00563905397782103,0.00808568297079074,3,1
V77,3,0.0056919476462697,0.00958868937368999,3,1
V78,4,0.00751184280247722,0.0613021392555004,3,1
V79,4,0.00724786306922543,0.0538009913686198,3,1
V80,6,0.0102277690712103,0.138476869075377,3,1
V81,3,0.00553798979047187,0.00521388138952918,3,1
V82,3,0.00576432343265583,0.0116452922440088,3,1
V83,4,0.00749034061952776,0.0606911413875661,3,1
V84,3,0.00596450212895999,0.017333494085429,3,1
V85,4,0.00753593873335082,0.0619868400797963,3,1
V86,3,0.00567352134280297,0.00906509452945749,3,1
V87,3,0.00601180459301642,0.0186776229468771,3,1
V88,3,0.00573459491070837,0.0108005378500283,3,1
V89,3,0.00595888428544834,0.0171738595768735,3,1
V90,3,0.00583013122167507,0.0135152613945234,3,1
V91,3,0.00607050587538932,0.0203456563023345,3,1
V92,3,0.00591477798833456,0.0159205517819241,3,1
V93,3,0.00563629662203454,0.00800733099552188,3,1
V94,3,0.00572571972351714,0.0105483439000416,3,1
V95,3,0.0059886729865891,0.0180203239999656,3,1
V96,3,0.00561368678629257,0.00736485848632793,3,1
V97,3,0.00558426674137962,0.00652886965865474,3,1
V98,3,0.00559059311013632,0.00670863735159965,3,1
V99,3,0.00561114930986648,0.00729275451949284,3,1
V100,3,0.00565167704062245,0.00844437513133047,3,1
