gene	AD	CTL
ENSG00000087191	512	458
ENSG00000168090	582	551
ENSG00000197217	88	91
ENSG00000117152	202	111
ENSG00000095139	439	296
ENSG00000163468	26	15
ENSG00000158864	536	533
ENSG00000132424	83	187
ENSG00000115762	461	443
ENSG00000138434	82	93
ENSG00000197043	463	413
ENSG00000126432	477	427
ENSG00000101365	672	660
ENSG00000277531	393	345
ENSG00000033627	363	235
ENSG00000198825	354	421
ENSG00000138107	632	760
ENSG00000183715	264	291
ENSG00000166908	419	315
ENSG00000105696	411	598
ENSG00000144567	606	578
ENSG00000188191	286	451
ENSG00000065559	356	366
ENSG00000213619	371	433
ENSG00000159199	465	507
ENSG00000113327	167	159
ENSG00000136531	161	210
ENSG00000126777	137	135
ENSG00000007168	738	545
ENSG00000158941	627	509
ENSG00000165152	301	351
ENSG00000116752	458	548
ENSG00000197170	497	409
ENSG00000144635	505	410
ENSG00000177383	276	217
ENSG00000145335	198	75
ENSG00000018189	508	465
ENSG00000189241	428	191
ENSG00000004779	380	465
ENSG00000198836	528	529
ENSG00000115944	604	776
ENSG00000135250	636	575
ENSG00000104852	66	80
ENSG00000126088	447	395
ENSG00000136521	523	592
ENSG00000087448	675	565
ENSG00000128463	477	332
ENSG00000055070	86	139
ENSG00000277791	335	317
ENSG00000110107	454	558
ENSG00000101079	669	467
ENSG00000225465	268	205
ENSG00000160014	289	208
ENSG00000117395	474	573
ENSG00000135624	633	653
ENSG00000104490	142	83
ENSG00000075785	372	200
ENSG00000175175	171	128
ENSG00000137076	164	180
ENSG00000107295	158	88
ENSG00000132872	154	212
ENSG00000038274	449	502
ENSG00000157077	455	525
ENSG00000151320	422	314
ENSG00000138018	332	261
ENSG00000084070	425	223
ENSG00000135940	149	94
ENSG00000125868	693	695
ENSG00000109436	513	417
ENSG00000141030	597	551
ENSG00000172500	382	431
ENSG00000082458	754	659
ENSG00000255302	349	356
ENSG00000127463	562	513
ENSG00000144290	140	51
ENSG00000089693	424	688
ENSG00000113387	299	244
ENSG00000158985	473	492
ENSG00000196972	25	21
ENSG00000115252	102	33
ENSG00000097021	312	437
ENSG00000091972	203	333
ENSG00000171224	369	304
ENSG00000185518	253	290
ENSG00000140262	154	206
ENSG00000085365	286	233
ENSG00000147224	443	510
ENSG00000173786	29	17
ENSG00000146267	254	252
ENSG00000068308	509	289
