gene	AD	CTL	delta	z_change	perc_AD	perc_CTL	delta_perc	HigherNetwork
ENSG00000159189	17	46	-29	-0.4764359470357635	0.44950706101785237	0.592326139088729	-0.14281907807087663	Control
ENSG00000276168	8	6	2	0.03041275165282881	0.3160138555822009	0.24660271782573942	0.06941113775646149	AD
ENSG00000138757	811	664	147	2.4011566648736635	0.9992006394884093	0.9842792432720491	0.014921396216360239	AD
ENSG00000131095	7	3	4	0.06311266769725413	0.29349853450572877	0.16027178257394084	0.13322675193178793	AD
ENSG00000110955	636	495	141	2.303056916740388	0.9788169464428457	0.9455102584598988	0.03330668798294689	AD
ENSG00000131100	708	660	48	0.7825108206746109	0.9905409006128431	0.9833466560085266	0.007194244604316502	AD
ENSG00000085433	663	677	-14	-0.23118657670257364	0.9818811617372768	0.9853450572875033	-0.0034638955502265256	Control
ENSG00000152556	555	513	42	0.6844110725413349	0.9589661604050094	0.9519051425526246	0.007061017852384777	AD
ENSG00000155097	791	689	102	1.6654085538740941	0.9986677324806821	0.9882760458300026	0.010391686650679466	AD
ENSG00000114573	554	438	116	1.8943079661850712	0.9583000266453504	0.9292565947242206	0.029043431921129792	AD
ENSG00000173726	663	659	4	0.06311266769725413	0.9818811617372768	0.9828137490007993	-9.325872635225219e-4	AD
ENSG00000139112	813	661	152	2.482906454984727	0.9994670929922729	0.9838795630162537	0.015587529976019199	AD
ENSG00000213190	438	316	122	1.9924077143183472	0.9237942978950173	0.8808952837729817	0.04289901412203567	AD
ENSG00000147416	498	431	67	1.0931600230966512	0.9449773514521715	0.9265920596855849	0.018385291766586653	AD
ENSG00000166913	588	406	182	2.9734051956511065	0.968558486544098	0.9150013322675193	0.0535571542765787	AD
ENSG00000161203	765	768	-3	-0.05133703845823445	0.996802557953637	0.9954702904343192	0.001332267519317809	Control
ENSG00000050748	712	550	162	2.6464060352068537	0.991207034372502	0.9602984279243272	0.030908606448174836	AD
ENSG00000120265	752	615	137	2.2376570846515373	0.9948041566746603	0.9756195043964828	0.01918465227817745	AD
ENSG00000198888	7	7	0	-0.0022871643915964943	0.29349853450572877	0.2675193178790301	0.025979216626698665	Control
ENSG00000169139	749	629	120	1.959707798273922	0.9944044764188649	0.9777511324273914	0.016653343991473446	AD
ENSG00000031698	770	665	105	1.714458427940732	0.9972022382094324	0.9845456967759126	0.012656541433519797	AD
ENSG00000154917	602	638	-36	-0.590885653191252	0.9722888355981881	0.9789501731947775	-0.006661337596589378	Control
ENSG00000159377	517	348	169	2.760855741362342	0.9509725552891021	0.896349586997069	0.05462296829203306	AD
ENSG00000213585	736	807	-71	-1.163134183968695	0.9936051159072742	0.9989341859845456	-0.005329070077271458	Control
ENSG00000119125	92	109	-17	-0.2802364507692116	0.7140953903543832	0.7315480948574474	-0.017452704503064242	Control
ENSG00000159720	732	718	14	0.22661224791938067	0.9933386624034106	0.991207034372502	0.0021316280309086055	AD
ENSG00000213760	581	563	18	0.2920120800082313	0.9669597655209166	0.9645616839861444	0.0023980815347721673	AD
ENSG00000151729	616	639	-23	-0.37833619890248754	0.9757527311484147	0.9796163069544365	-0.003863575806021813	Control
ENSG00000089818	627	531	96	1.5673088057408182	0.9772182254196643	0.9561683986144418	0.021049826805222493	AD
ENSG00000131437	709	574	135	2.204957168607112	0.9909405808686385	0.9677591260325074	0.0231814548361311	AD
ENSG00000198513	444	428	16	0.25931216396380596	0.9269917399413802	0.9253930189181988	0.0015987210231813709	AD
ENSG00000240694	564	563	1	0.01406279363061616	0.9612310151878497	0.9645616839861444	-0.003330668798294689	AD
ENSG00000010256	557	544	13	0.21026228989716803	0.9594990674127365	0.9586997069011457	7.993605115907965e-4	AD
ENSG00000102003	351	348	3	0.04676270967504147	0.886357580602185	0.896349586997069	-0.009992006394884068	AD
ENSG00000138430	771	755	16	0.25931216396380596	0.9976019184652278	0.9933386624034106	0.004263256061817211	AD
ENSG00000144834	366	471	-105	-1.7190327567239252	0.8926192379429789	0.9405808686384226	-0.04796163069544368	Control
ENSG00000111674	433	335	98	1.6000087217852434	0.9213962163602452	0.8887556621369571	0.03264055422328804	AD
ENSG00000133318	493	348	145	2.3684567488292383	0.9431121769251266	0.896349586997069	0.046762589928057596	AD
ENSG00000104388	752	785	-33	-0.5418357791246141	0.9948041566746603	0.9970690114575007	-0.002264854782840442	Control
ENSG00000136143	647	570	77	1.2566596033187778	0.9800159872102319	0.9661604050093259	0.013855582200905991	AD
ENSG00000165943	706	611	95	1.5509588477186056	0.9901412203570477	0.9746869171329603	0.015454303224087362	AD
ENSG00000146701	839	765	74	1.2076097292521397	1	0.9944044764188649	0.005595523581135131	AD
ENSG00000159164	451	460	-9	-0.14943678659151036	0.9299227284838796	0.93591793232081	-0.005995203836930418	Control
ENSG00000057757	691	582	109	1.7798582600295827	0.9876099120703438	0.9706901145750066	0.01691979749533712	AD
ENSG00000061918	673	601	72	1.1749098132077145	0.9849453770317079	0.9733546496136424	0.01159072741806555	AD
ENSG00000198932	415	552	-137	-2.24223141343473	0.9128697042366107	0.9612310151878497	-0.04836131095123897	Control
ENSG00000154277	372	284	88	1.436509141563117	0.89568345323741	0.8665067945643485	0.029176658673061517	AD
ENSG00000181789	755	696	59	0.9623603589189501	0.9960031974420464	0.9892086330935251	0.006794564348521215	AD
ENSG00000013275	577	538	39	0.635361198474697	0.9653610444977352	0.9573674393818279	0.007993605115907298	AD
ENSG00000065154	568	449	119	1.943357840251709	0.9617639221955768	0.9320543565147882	0.02970956568078864	AD
ENSG00000167770	780	764	16	0.25931216396380596	0.9978683719690914	0.9941380229150013	0.0037303490540900874	AD
ENSG00000163536	212	232	-20	-0.3292863248358496	0.82227551292299494	0.8409272581934453	-0.018651745270450326	Control
ENSG00000163875	793	786	7	0.11216254176389208	0.9989341859845456	0.9973354649613643	0.0015987210231813709	AD
ENSG00000162378	600	363	237	3.8726528868728027	0.9720223820943246	0.9022115640820677	0.06981081801225686	AD
ENSG00000162188	339	362	-23	-0.37833619890248754	0.8808952837729817	0.9018118838262723	-0.020916600053290657	Control
ENSG00000113575	755	790	-35	-0.5745356951690394	0.9960031974420464	0.9978683719690914	-0.0018651745270450437	Control
ENSG00000100554	695	464	231	3.7745531387395266	0.9890754063415934	0.9372501998401279	0.05182520650146549	AD
ENSG00000142686	596	625	-29	-0.4764359470357635	0.9709565680788702	0.9770849986677325	-0.006128430588862255	Control
ENSG00000167863	508	476	32	0.5209114923192084	0.9476418864908074	0.9413802291500133	0.006261657340794091	AD
ENSG00000177889	828	800	28	0.45551166023035783	0.9997335464961364	0.9984012789768185	0.00133226751931792	AD
ENSG00000167778	682	774	-92	-1.5064833024351607	0.986144417799094	0.9960031974420464	-0.009858779642952342	Control
ENSG00000107758	663	593	70	1.1422098971632892	0.9818811617372768	0.9722888355981881	0.00959232613908867	AD
