gene	AD	CTL
ENSG00000183023	99	164
ENSG00000167526	81	4
ENSG00000152102	99	255
ENSG00000105855	118	158
ENSG00000261226	133	18
ENSG00000154174	41	166
ENSG00000167264	420	46
ENSG00000198932	57	332
ENSG00000165323	51	133
ENSG00000087152	69	128
ENSG00000267610	174	91
ENSG00000144820	7	4
ENSG00000007255	419	22
ENSG00000119688	341	13
ENSG00000188811	340	1
ENSG00000142676	70	63
ENSG00000272597	154	234
ENSG00000095787	260	8
ENSG00000228723	172	81
ENSG00000145681	15	48
ENSG00000133059	143	269
ENSG00000175575	403	58
ENSG00000172765	353	40
ENSG00000162231	213	3
ENSG00000121680	327	68
ENSG00000083845	92	22
ENSG00000048707	11	16
ENSG00000068383	103	130
ENSG00000132356	433	9
ENSG00000280157	446	29
ENSG00000231584	260	14
ENSG00000143199	332	40
ENSG00000222640	490	8
ENSG00000146453	545	1
ENSG00000138136	49	122
ENSG00000173267	102	104
ENSG00000136518	419	20
ENSG00000260412	1	NA
ENSG00000229727	111	1
ENSG00000116539	96	298
ENSG00000178403	50	87
ENSG00000100422	145	174
ENSG00000004838	271	24
ENSG00000110786	91	182
ENSG00000150753	91	26
ENSG00000196428	54	3
ENSG00000215474	117	69
ENSG00000105613	573	69
ENSG00000157895	429	161
ENSG00000125779	315	NA
ENSG00000149476	485	85
ENSG00000164331	358	8
ENSG00000138081	72	228
ENSG00000285796	461	23
ENSG00000142534	78	41
ENSG00000099957	59	NA
ENSG00000176209	185	10
ENSG00000235888	360	6
ENSG00000239306	142	7
ENSG00000198763	10	232
ENSG00000259291	433	1
ENSG00000260198	223	173
ENSG00000196367	55	2
ENSG00000143514	80	133
ENSG00000151470	309	NA
ENSG00000116984	477	1
ENSG00000143947	54	3
ENSG00000133424	163	161
ENSG00000112739	189	4
ENSG00000118181	76	23
ENSG00000166170	99	218
ENSG00000159761	492	9
ENSG00000157765	348	5
ENSG00000259943	410	14
ENSG00000188779	112	241
ENSG00000129691	471	56
ENSG00000284773	347	17
ENSG00000166166	207	1
ENSG00000089250	75	171
ENSG00000184524	162	80
ENSG00000156687	124	226
ENSG00000148175	98	105
ENSG00000203896	388	213
ENSG00000145016	176	13
ENSG00000115073	270	38
ENSG00000112667	311	1
ENSG00000162241	640	13
ENSG00000251442	68	4
ENSG00000144136	113	105
ENSG00000167515	332	45
ENSG00000128731	13	14
ENSG00000166441	61	22
ENSG00000090060	518	127
ENSG00000287310	312	15
ENSG00000196668	529	8
ENSG00000133884	521	15
ENSG00000177311	145	74
ENSG00000116350	32	38
ENSG00000070495	513	58
ENSG00000155463	350	39
ENSG00000099942	150	87
ENSG00000111652	114	148
ENSG00000184508	483	51
ENSG00000127419	216	27
ENSG00000074317	108	50
ENSG00000147889	80	6
ENSG00000134248	44	96
ENSG00000139971	103	211
ENSG00000239218	151	NA
ENSG00000187961	253	6
ENSG00000130783	389	13
ENSG00000254635	416	31
ENSG00000131446	95	15
ENSG00000166448	76	183
ENSG00000250903	294	13
ENSG00000157800	150	NA
ENSG00000197077	74	119
ENSG00000160551	82	177
ENSG00000116132	80	103
ENSG00000138073	125	84
ENSG00000113240	285	4
ENSG00000251595	308	59
ENSG00000187531	556	6
ENSG00000184432	52	407
ENSG00000270379	167	NA
ENSG00000088543	324	109
ENSG00000177646	385	4
ENSG00000287895	312	29
ENSG00000116729	110	137
ENSG00000127125	253	35
ENSG00000197430	30	NA
ENSG00000152208	111	55
ENSG00000119844	136	58
ENSG00000110321	158	62
ENSG00000180549	224	45
ENSG00000260417	117	133
ENSG00000279700	78	105
ENSG00000157077	97	480
ENSG00000175063	419	NA
ENSG00000281332	332	8
ENSG00000246100	569	34
ENSG00000280138	190	126
