gene	AD	CTL	delta	z_change	perc_AD	perc_CTL	delta_perc	HigherNetwork
ENSG00000131095	8	7	1	-0.024182724249772546	0.33234156501041356	0.1716750966974115	0.16066646831300208	AD
ENSG00000198804	8	7	1	-0.024182724249772546	0.33234156501041356	0.1716750966974115	0.16066646831300208	AD
ENSG00000198888	8	7	1	-0.024182724249772546	0.33234156501041356	0.1716750966974115	0.16066646831300208	AD
ENSG00000159189	26	68	-42	-0.5724117213870084	0.4982148170187444	0.5949122285034216	-0.0966974114846772	Control
ENSG00000129625	739	671	68	0.8300345503594089	0.9894376673609044	0.9952395120499852	-0.005801844689080737	AD
ENSG00000173372	13	46	-33	-0.45766611733502877	0.39764950907468016	0.5077357929187741	-0.11008628384409397	Control
ENSG00000276168	6	6	0	-0.03693223581110361	0.28711692948527223	0.15233561440047605	0.13478131508479618	Control
ENSG00000157064	721	581	140	1.7479993827752458	0.9858673013983933	0.9781315084796192	0.0077357929187741314	AD
ENSG00000136531	771	702	69	0.84278406192074	0.9937518595656055	0.9979172865218685	-0.004165426956262985	AD
ENSG00000061918	814	699	115	1.429261593741969	0.9982148170187444	0.9976197560249925	5.950609937518392e-4	AD
ENSG00000173726	786	682	104	1.2890169665673272	0.9961321035406129	0.9961321035406129	0	AD
ENSG00000198763	7	8	-1	-0.04968174737243468	0.3122582564712883	0.18670038678964593	0.12555786968164237	Control
ENSG00000115685	892	839	53	0.638791876939443	1	1	0	AD
ENSG00000164116	88	145	-57	-0.7636543948069744	0.6800059506099375	0.7374293365069919	-0.057423385897054424	Control
ENSG00000198513	709	584	125	1.5567567093552797	0.9824457006843201	0.9797679262124368	0.002677774471883332	AD
ENSG00000158856	759	581	178	2.2324808221058263	0.9927105028265397	0.9781315084796192	0.01457899434692056	AD
ENSG00000189241	784	623	161	2.0157391255631985	0.995834573043737	0.9879500148765249	0.007884558167212119	AD
ENSG00000019582	5	12	-7	-0.12617881674042108	0.26152930675394226	0.24397500743826242	0.01755429931567984	Control
ENSG00000120053	726	509	217	2.729711772997738	0.9866111276405831	0.9602796786670633	0.0263314489735198	AD
ENSG00000111674	664	599	65	0.7917860156754157	0.974561142517108	0.9822969354358821	-0.0077357929187741314	AD
ENSG00000145632	681	477	204	2.5639681227004343	0.9776852127343053	0.949122285034216	0.02856292770008928	AD
ENSG00000073969	709	611	98	1.212519897199341	0.9824457006843201	0.9854210056530794	-0.002975304968759307	AD
ENSG00000112290	763	607	156	1.951991567756543	0.9931567985718536	0.9842308836655758	0.00892591490627781	AD
ENSG00000173915	481	305	176	2.2069817989831644	0.928146385004463	0.8699791728652186	0.05816721213924436	AD
ENSG00000131100	695	632	63	0.7662869925527536	0.9808092829515025	0.9895864326093424	-0.008777149657839933	AD
ENSG00000154174	600	455	145	1.8117469405819011	0.9641475751264504	0.9430229098482594	0.021124665278191013	AD
ENSG00000139112	859	638	221	2.780709819243062	0.999702469503124	0.9906277893484082	0.009074680154715797	AD
ENSG00000138430	794	666	128	1.5950052440392728	0.9964296340374889	0.9949419815531092	0.0014876524843796535	AD
ENSG00000129636	775	640	135	1.6842518249685905	0.9946444510562332	0.9910740850937221	0.003570365962511146	AD
ENSG00000075340	641	616	25	0.28180555322217304	0.9720321332936626	0.9866111276405831	-0.01457899434692056	AD
ENSG00000014641	467	344	123	1.5312576862326175	0.9208568878310027	0.8954180303481106	0.025438857482892097	AD
ENSG00000107758	772	706	66	0.8045355272367468	0.9940493900624814	0.9982148170187444	-0.004165426956262985	AD
ENSG00000138757	756	721	35	0.40930066883548377	0.9918179113359119	0.9991074085093722	-0.00728949717346028	AD
