gene	AD	CTL
ENSG00000173372	8	49
ENSG00000116106	548	566
ENSG00000131370	509	149
ENSG00000196230	169	11
ENSG00000165152	459	433
ENSG00000164061	168	313
ENSG00000040341	546	532
ENSG00000156735	391	75
ENSG00000034053	210	359
ENSG00000085415	576	530
ENSG00000172209	550	283
ENSG00000197959	546	492
ENSG00000164715	253	415
ENSG00000187189	583	496
ENSG00000134265	552	533
ENSG00000151948	656	682
ENSG00000083720	405	512
ENSG00000159720	335	309
ENSG00000139970	509	345
ENSG00000198961	427	424
ENSG00000197872	463	335
ENSG00000168785	393	285
ENSG00000103769	411	332
ENSG00000007168	375	420
ENSG00000175931	341	485
ENSG00000173660	124	93
ENSG00000136531	285	89
ENSG00000165434	244	35
ENSG00000054356	338	400
ENSG00000004059	492	458
ENSG00000144959	478	399
ENSG00000157087	312	267
ENSG00000151320	373	239
ENSG00000099365	546	400
ENSG00000153310	564	496
ENSG00000119801	456	295
ENSG00000124785	518	462
ENSG00000169891	628	666
ENSG00000084070	379	394
ENSG00000277586	375	378
ENSG00000157219	553	550
ENSG00000186212	497	416
ENSG00000162636	495	331
ENSG00000072201	505	494
ENSG00000131779	353	236
ENSG00000168959	428	325
ENSG00000198121	26	18
ENSG00000220323	1	1
ENSG00000171914	346	417
ENSG00000151229	402	249
ENSG00000051382	383	448
ENSG00000132341	359	458
ENSG00000140854	225	347
ENSG00000154518	396	315
ENSG00000156687	433	420
ENSG00000155876	312	402
ENSG00000177875	493	251
ENSG00000110148	182	236
ENSG00000088986	225	43
ENSG00000047597	683	581
ENSG00000085365	399	276
ENSG00000198010	252	175
ENSG00000254585	316	66
ENSG00000153956	411	114
ENSG00000104723	446	448
ENSG00000070718	399	369
ENSG00000143106	323	194
ENSG00000164209	373	302
ENSG00000189195	623	434
ENSG00000082213	427	209
ENSG00000129250	131	25
ENSG00000151690	349	394
ENSG00000129159	205	279
ENSG00000123178	338	83
ENSG00000164794	420	399
ENSG00000136003	548	310
ENSG00000142235	90	230
ENSG00000131966	314	228
ENSG00000162817	532	357
ENSG00000164112	466	383
ENSG00000133318	432	211
ENSG00000171603	322	356
ENSG00000282164	447	470
ENSG00000070159	500	457
ENSG00000138378	524	125
ENSG00000089199	541	443
ENSG00000068912	353	506
ENSG00000091157	509	454
ENSG00000164076	406	267
ENSG00000178974	565	552
ENSG00000167699	130	62
ENSG00000127561	541	586
ENSG00000220575	412	355
ENSG00000171951	388	79
ENSG00000169567	262	173
ENSG00000138069	121	212
ENSG00000008277	393	292
ENSG00000118402	509	418
ENSG00000054793	374	520
ENSG00000112640	524	633
ENSG00000175874	432	315
ENSG00000165973	461	381
ENSG00000166111	437	406
ENSG00000201321	34	98
ENSG00000171798	154	255
ENSG00000138095	254	229
ENSG00000196072	372	201
ENSG00000113966	517	422
ENSG00000143473	371	455
ENSG00000116750	472	588
ENSG00000138002	27	44
ENSG00000158856	373	338
ENSG00000113575	338	94
ENSG00000145864	579	265
ENSG00000248485	352	86
ENSG00000006740	231	351
ENSG00000197860	393	301
ENSG00000159658	134	124
ENSG00000114993	12	10
ENSG00000165169	443	351
ENSG00000146731	207	202
ENSG00000163810	21	54
ENSG00000156976	370	326
ENSG00000183117	89	60
ENSG00000171450	261	334
ENSG00000084731	188	431
ENSG00000134717	290	305
ENSG00000185924	241	311
ENSG00000133019	218	206
ENSG00000159363	145	289
ENSG00000102466	425	424
ENSG00000111110	419	578
ENSG00000163482	20	36
ENSG00000128524	238	58
ENSG00000152503	489	134
ENSG00000197562	120	267
ENSG00000087095	433	461
ENSG00000197217	364	351
ENSG00000156261	242	81
ENSG00000187079	52	50
ENSG00000074706	361	134
ENSG00000197147	411	483
ENSG00000166924	186	369
ENSG00000162706	275	430
ENSG00000135624	212	294
ENSG00000159164	436	283
ENSG00000185352	389	279
ENSG00000169282	414	316
ENSG00000106723	557	560
ENSG00000204116	540	402
ENSG00000100934	494	548
ENSG00000089737	427	333
ENSG00000130368	493	321
ENSG00000168539	257	353
ENSG00000113387	274	165
ENSG00000133627	485	585
ENSG00000173915	71	36
ENSG00000113763	125	190
ENSG00000144285	350	144
ENSG00000198932	355	268
ENSG00000178662	300	97
ENSG00000124507	204	307
ENSG00000111674	360	165
ENSG00000099814	162	352
ENSG00000156959	133	235
ENSG00000132932	291	212
ENSG00000198216	240	249
ENSG00000053108	266	288
ENSG00000148408	214	201
ENSG00000164885	314	127
ENSG00000107282	171	311
ENSG00000135119	312	330
ENSG00000114784	386	231
ENSG00000126950	645	440
ENSG00000003987	401	320
ENSG00000112149	464	191
ENSG00000175582	580	657
ENSG00000060709	341	232
ENSG00000138071	114	188
ENSG00000169783	155	230
ENSG00000075391	99	60
ENSG00000184156	382	256
ENSG00000166912	38	25
ENSG00000187730	412	456
ENSG00000176788	403	330
ENSG00000188674	456	312
ENSG00000163590	373	414
ENSG00000135540	32	35
ENSG00000167654	426	523
ENSG00000145632	430	148
ENSG00000196872	242	299
ENSG00000185742	445	479
ENSG00000088538	288	342
ENSG00000121769	116	13
ENSG00000144406	194	104
ENSG00000110076	97	238
ENSG00000176490	573	385
ENSG00000136521	258	127
ENSG00000125851	475	468
ENSG00000166257	248	116
ENSG00000177954	11	22
ENSG00000169490	301	133
ENSG00000108557	74	178
ENSG00000103056	173	252
ENSG00000084764	254	257
ENSG00000065559	438	549
ENSG00000186310	553	410
ENSG00000174672	116	208
ENSG00000221288	28	65
ENSG00000163577	397	208
ENSG00000105696	481	394
ENSG00000196368	546	167
ENSG00000164919	28	21
ENSG00000107105	535	308
ENSG00000116752	307	231
ENSG00000126733	580	301
ENSG00000169032	357	394
ENSG00000162981	105	135
ENSG00000143158	221	231
ENSG00000131437	399	250
ENSG00000145242	403	337
ENSG00000205629	375	175
ENSG00000115233	99	78
ENSG00000158301	591	427
ENSG00000165264	71	72
ENSG00000113319	253	348
ENSG00000101474	425	375
ENSG00000150760	62	44
ENSG00000114541	20	20
ENSG00000196262	194	80
ENSG00000132704	42	54
ENSG00000186951	118	103
ENSG00000152495	410	349
ENSG00000106367	208	176
ENSG00000180044	415	329
ENSG00000135002	371	292
ENSG00000112367	377	269
ENSG00000177383	126	236
ENSG00000006116	304	266
ENSG00000177570	312	179
ENSG00000133101	492	126
ENSG00000137693	124	149
ENSG00000069424	273	344
ENSG00000169933	489	587
ENSG00000143727	301	373
ENSG00000167005	368	262
ENSG00000165832	388	404
ENSG00000082458	718	695
ENSG00000131089	532	517
ENSG00000280614	3	55
ENSG00000143514	30	75
ENSG00000134684	371	313
ENSG00000118160	247	355
ENSG00000082781	125	84
ENSG00000123636	417	133
ENSG00000108773	22	16
ENSG00000123562	405	212
ENSG00000242261	35	102
ENSG00000128463	210	183
ENSG00000138138	166	221
ENSG00000185274	205	284
ENSG00000159199	118	54
ENSG00000119042	136	176
ENSG00000013392	210	129
ENSG00000072832	389	345
ENSG00000064763	410	294
ENSG00000204851	461	519
ENSG00000138311	492	300
ENSG00000154945	36	13
ENSG00000172350	285	159
ENSG00000117069	252	275
ENSG00000069966	271	232
ENSG00000215218	455	497
ENSG00000124207	159	178
ENSG00000111667	280	290
ENSG00000033122	113	38
ENSG00000196776	430	123
ENSG00000168159	262	374
ENSG00000174514	289	217
ENSG00000165731	385	271
ENSG00000165914	134	261
ENSG00000186469	425	122
ENSG00000198729	413	243
ENSG00000138078	400	14
ENSG00000165704	621	442
ENSG00000163995	341	340
ENSG00000169139	345	293
ENSG00000145349	404	185
ENSG00000221866	270	251
ENSG00000031081	104	126
ENSG00000130477	332	290
ENSG00000151414	88	21
ENSG00000183826	28	68
ENSG00000156564	134	271
ENSG00000147465	440	248
ENSG00000078140	235	168
ENSG00000153558	255	73
ENSG00000132821	147	202
ENSG00000214517	235	162
ENSG00000198417	2	1
ENSG00000099901	81	31
ENSG00000196090	195	245
ENSG00000162105	139	127
ENSG00000006432	284	188
