gene	AD	CTL
ENSG00000169032	559	428
ENSG00000007237	526	524
ENSG00000136521	558	698
ENSG00000085788	372	316
ENSG00000166206	498	547
ENSG00000139182	429	401
ENSG00000067829	579	520
ENSG00000145335	616	576
ENSG00000156471	667	567
ENSG00000112514	609	484
ENSG00000183258	630	415
ENSG00000077264	507	543
ENSG00000204287	3	11
ENSG00000130477	320	420
ENSG00000114857	173	311
ENSG00000068615	404	289
ENSG00000185946	144	285
ENSG00000175203	335	246
ENSG00000150768	526	477
ENSG00000124406	437	476
ENSG00000185760	426	339
ENSG00000151025	373	291
ENSG00000179115	518	352
ENSG00000089199	300	318
ENSG00000126247	241	172
ENSG00000061936	114	135
ENSG00000077080	474	449
ENSG00000082458	627	642
ENSG00000203709	126	208
ENSG00000136267	377	334
ENSG00000126088	384	337
ENSG00000237190	713	589
ENSG00000174996	599	562
ENSG00000084764	352	388
ENSG00000189043	465	458
ENSG00000042753	781	646
ENSG00000151835	278	148
ENSG00000122824	483	373
ENSG00000107295	362	148
ENSG00000240764	294	323
ENSG00000130643	341	173
ENSG00000164109	479	197
ENSG00000065609	373	284
ENSG00000136541	80	88
ENSG00000170456	509	455
ENSG00000103089	73	86
ENSG00000139505	653	449
ENSG00000178965	321	99
ENSG00000144834	506	437
ENSG00000166922	432	315
ENSG00000143153	431	349
ENSG00000182899	38	34
ENSG00000189159	422	188
ENSG00000174684	334	217
ENSG00000197535	418	388
ENSG00000117410	287	183
ENSG00000165868	482	469
ENSG00000261326	171	333
ENSG00000117395	395	482
ENSG00000086061	6	7
ENSG00000171617	366	314
ENSG00000128245	543	410
ENSG00000078328	372	295
ENSG00000143106	262	285
ENSG00000229180	257	431
ENSG00000124194	433	187
ENSG00000186462	476	367
ENSG00000102934	40	57
ENSG00000108947	411	299
ENSG00000151948	558	567
ENSG00000164091	535	563
ENSG00000121871	385	483
ENSG00000137100	603	520
ENSG00000047597	608	434
ENSG00000168438	611	448
ENSG00000158864	476	325
ENSG00000198356	569	557
ENSG00000137142	600	459
ENSG00000198121	22	51
ENSG00000138078	353	138
ENSG00000188021	694	381
ENSG00000230051	469	408
ENSG00000091513	55	61
ENSG00000165678	391	418
ENSG00000131263	601	319
ENSG00000075945	355	371
ENSG00000145730	455	278
ENSG00000163399	427	143
ENSG00000126602	527	378
ENSG00000146592	49	56
ENSG00000085365	335	332
ENSG00000142408	419	407
ENSG00000123570	559	336
ENSG00000025772	387	190
ENSG00000128656	457	179
ENSG00000120805	457	411
ENSG00000105223	438	358
ENSG00000070761	565	263
ENSG00000126583	286	128
ENSG00000146414	210	318
ENSG00000230551	148	264
ENSG00000159720	458	224
ENSG00000154096	231	275
ENSG00000084623	218	56
ENSG00000198934	433	284
ENSG00000101557	593	295
ENSG00000169247	56	79
ENSG00000198563	158	265
ENSG00000106299	456	298
ENSG00000162817	498	477
ENSG00000101349	514	337
ENSG00000180376	180	146
ENSG00000133318	465	231
ENSG00000266472	415	95
ENSG00000092096	433	236
ENSG00000149582	525	343
ENSG00000197106	433	243
ENSG00000180543	577	406
ENSG00000134744	102	105
ENSG00000170775	35	62
ENSG00000137815	143	227
ENSG00000184613	420	132
ENSG00000272163	458	288
ENSG00000181754	458	649
ENSG00000157087	331	495
ENSG00000198258	263	215
ENSG00000075415	383	273
ENSG00000131495	113	89
ENSG00000124140	403	324
ENSG00000151465	589	558
ENSG00000066248	146	183
ENSG00000031698	399	47
ENSG00000104859	40	36
ENSG00000163412	375	493
ENSG00000164951	381	443
ENSG00000163466	439	210
ENSG00000002016	202	347
ENSG00000101654	414	333
ENSG00000100138	605	424
ENSG00000105784	486	454
ENSG00000164924	366	337
ENSG00000168314	20	22
ENSG00000078369	257	318
ENSG00000119421	515	510
ENSG00000110717	423	427
ENSG00000167468	355	388
ENSG00000108848	190	366
ENSG00000165264	305	376
ENSG00000128683	355	265
ENSG00000133134	330	268
ENSG00000078668	453	308
ENSG00000111647	595	362
ENSG00000119801	472	393
ENSG00000167671	477	410
ENSG00000123684	319	406
ENSG00000108395	744	657
ENSG00000198612	301	346
ENSG00000175471	334	271
ENSG00000115073	146	179
ENSG00000114993	44	38
ENSG00000075826	141	185
ENSG00000138660	480	411
ENSG00000196465	476	544
ENSG00000143933	309	141
ENSG00000010256	353	259
ENSG00000116030	196	348
ENSG00000162517	553	371
ENSG00000113595	572	478
ENSG00000140990	420	373
ENSG00000163995	270	222
ENSG00000118200	239	269
ENSG00000153130	57	159
ENSG00000012983	43	112
ENSG00000163728	147	402
ENSG00000114279	240	281
ENSG00000147488	62	79
ENSG00000177511	401	394
ENSG00000171408	376	226
ENSG00000125868	428	422
ENSG00000130725	554	483
ENSG00000172890	78	227
ENSG00000022355	186	261
ENSG00000197043	391	367
ENSG00000130956	500	292
ENSG00000121905	213	175
ENSG00000106682	480	626
ENSG00000068308	410	355
ENSG00000106723	621	641
ENSG00000117155	540	313
ENSG00000184863	116	140
ENSG00000077522	304	236
ENSG00000220205	385	556
ENSG00000196937	360	180
ENSG00000144567	533	498
ENSG00000079246	271	130
ENSG00000166167	592	330
ENSG00000179818	182	310
ENSG00000163798	349	247
ENSG00000152495	294	330
ENSG00000160714	278	327
ENSG00000132507	347	140
ENSG00000099341	481	351
ENSG00000183624	384	244
ENSG00000013275	138	44
ENSG00000067191	386	340
ENSG00000246922	208	283
ENSG00000183049	381	333
ENSG00000101210	434	382
ENSG00000197885	420	267
ENSG00000188573	392	296
ENSG00000155876	444	311
ENSG00000109436	481	175
ENSG00000282164	286	241
ENSG00000151502	543	356
ENSG00000110675	245	375
ENSG00000164124	34	64
ENSG00000149243	366	252
ENSG00000006377	258	294
ENSG00000160716	148	126
ENSG00000162511	14	67
ENSG00000142186	138	19
ENSG00000198417	2	NA
ENSG00000179542	509	457
ENSG00000277791	343	142
ENSG00000114023	176	228
ENSG00000213465	429	399
ENSG00000173692	169	183
ENSG00000167005	549	397
ENSG00000108094	559	402
ENSG00000166619	450	405
ENSG00000169499	498	52
ENSG00000160014	457	483
ENSG00000167654	278	326
ENSG00000085662	412	237
ENSG00000105221	285	482
ENSG00000067221	363	184
ENSG00000079785	386	407
ENSG00000172336	497	173
ENSG00000165832	318	161
ENSG00000103035	409	261
ENSG00000134717	299	191
ENSG00000188419	851	644
ENSG00000172375	391	354
ENSG00000062282	354	272
ENSG00000158941	508	293
ENSG00000105376	155	102
ENSG00000197860	223	162
ENSG00000157693	550	397
ENSG00000130731	499	237
ENSG00000172575	278	341
ENSG00000145864	241	264
ENSG00000159352	310	320
ENSG00000106537	336	338
ENSG00000179546	180	132
ENSG00000164031	44	70
ENSG00000152234	374	346
ENSG00000178974	403	341
ENSG00000258890	187	249
ENSG00000175416	591	504
ENSG00000073910	337	264
ENSG00000143947	26	33
ENSG00000144357	480	213
ENSG00000128463	315	103
ENSG00000161057	107	52
ENSG00000116161	9	2
ENSG00000110107	422	296
ENSG00000114948	254	162
ENSG00000084453	34	17
ENSG00000136143	356	362
ENSG00000197586	305	224
ENSG00000051382	172	39
ENSG00000213983	35	73
ENSG00000105695	49	62
ENSG00000197959	229	133
ENSG00000113163	418	353
ENSG00000132639	296	80
ENSG00000149269	374	318
ENSG00000155511	264	139
ENSG00000078403	211	348
ENSG00000115365	243	429
ENSG00000165916	369	269
ENSG00000007168	526	327
ENSG00000247828	189	251
ENSG00000168297	27	43
ENSG00000198420	62	4
ENSG00000198791	328	308
ENSG00000123360	204	262
ENSG00000276966	454	80
ENSG00000140718	506	217
ENSG00000154822	300	314
ENSG00000189195	189	137
ENSG00000166411	539	290
ENSG00000126091	166	322
ENSG00000272031	284	223
ENSG00000167524	50	125
ENSG00000166501	329	259
ENSG00000077152	327	286
ENSG00000173786	49	74
ENSG00000171735	250	213
ENSG00000050165	439	230
ENSG00000114541	33	58
ENSG00000198815	410	232
ENSG00000072609	251	371
ENSG00000162426	343	260
ENSG00000136153	205	109
ENSG00000100030	272	133
ENSG00000003756	118	319
ENSG00000261786	49	98
ENSG00000167863	365	297
ENSG00000067606	223	210
ENSG00000189369	267	96
ENSG00000168539	208	200
ENSG00000112079	65	103
ENSG00000065559	284	280
ENSG00000182901	199	251
ENSG00000132975	70	22
ENSG00000008735	434	273
ENSG00000155304	366	188
ENSG00000144713	28	36
ENSG00000142686	269	488
ENSG00000131508	239	164
ENSG00000162572	60	104
ENSG00000101146	458	83
ENSG00000104852	41	72
ENSG00000143502	160	70
ENSG00000146731	71	15
ENSG00000165704	616	583
ENSG00000165283	162	161
ENSG00000223959	202	338
ENSG00000004534	74	202
ENSG00000166197	244	133
ENSG00000033627	579	602
ENSG00000138207	317	201
ENSG00000144959	287	102
ENSG00000144597	366	173
ENSG00000129355	507	425
ENSG00000183166	317	238
ENSG00000177570	246	344
ENSG00000277586	324	180
ENSG00000181852	452	697
ENSG00000138663	221	276
ENSG00000172508	27	44
ENSG00000115484	6	8
ENSG00000213186	43	55
ENSG00000003987	192	205
ENSG00000034510	245	51
ENSG00000116120	97	122
ENSG00000063015	314	355
ENSG00000084463	241	175
ENSG00000116604	391	523
ENSG00000214176	166	304
ENSG00000204052	239	157
ENSG00000125743	458	277
ENSG00000131966	295	219
ENSG00000171224	260	66
ENSG00000102003	374	450
ENSG00000117133	162	50
ENSG00000162951	207	197
ENSG00000104976	516	239
ENSG00000166181	400	218
ENSG00000181656	57	25
ENSG00000163673	172	74
ENSG00000181090	162	297
ENSG00000154917	398	298
ENSG00000196368	283	139
ENSG00000005249	43	12
ENSG00000066322	29	24
ENSG00000113966	463	382
ENSG00000158109	395	281
ENSG00000117360	96	81
ENSG00000083799	596	423
ENSG00000132153	359	296
ENSG00000132305	105	47
ENSG00000087365	258	236
ENSG00000143727	421	323
ENSG00000015676	181	43
ENSG00000239857	92	215
ENSG00000112697	294	78
ENSG00000086504	305	92
ENSG00000174917	399	211
ENSG00000214029	139	301
ENSG00000140854	501	244
ENSG00000126067	78	113
ENSG00000082701	198	345
ENSG00000118276	125	247
ENSG00000162639	383	296
ENSG00000164609	282	321
ENSG00000005448	238	33
ENSG00000176490	337	287
ENSG00000184156	264	321
ENSG00000147459	35	62
ENSG00000164405	66	57
ENSG00000103160	328	316
ENSG00000186001	169	360
ENSG00000110400	27	40
ENSG00000131143	308	357
ENSG00000171132	270	158
ENSG00000125037	251	129
ENSG00000155275	165	244
ENSG00000163001	340	185
ENSG00000019144	25	43
ENSG00000124772	144	120
ENSG00000164172	307	424
ENSG00000119778	94	171
ENSG00000102471	349	360
ENSG00000173581	530	574
ENSG00000170919	179	257
ENSG00000165121	72	160
ENSG00000170027	311	222
ENSG00000169220	73	104
ENSG00000047249	316	119
ENSG00000092201	321	417
ENSG00000146360	248	144
ENSG00000196290	367	69
ENSG00000187164	37	70
ENSG00000125841	324	343
ENSG00000049759	174	101
ENSG00000257621	280	488
ENSG00000124374	10	22
ENSG00000054356	203	258
ENSG00000102710	114	244
ENSG00000186260	274	71
ENSG00000134884	146	237
ENSG00000253877	42	44
ENSG00000138801	375	167
ENSG00000132879	208	331
ENSG00000110172	3	4
ENSG00000164187	216	343
ENSG00000288025	58	139
ENSG00000066336	30	79
ENSG00000150394	259	329
ENSG00000123636	58	65
ENSG00000196187	23	30
ENSG00000138442	442	387
ENSG00000127415	64	203
ENSG00000146006	203	182
ENSG00000054793	398	288
ENSG00000172915	208	171
ENSG00000163956	403	335
ENSG00000136003	289	100
ENSG00000182400	529	495
ENSG00000251474	157	151
ENSG00000096092	358	44
