degree,pagerank,pagerank_norm,kcore,membership_infomap
28,0.0415462630046555,1,3,1
7,0.0107557897621676,0.150278853734082,3,1
13,0.0194560156704722,0.390377986779419,3,1
20,0.0304947151594651,0.695011706086106,3,1
12,0.0180453363387983,0.351447631624322,3,1
24,0.0360547539992436,0.848451458018865,3,1
6,0.00953987036297617,0.11672326601995,3,1
15,0.0236081223133849,0.504963195920201,3,1
6,0.00989838468579634,0.126617144523874,3,1
11,0.0174441810710319,0.334857618889299,3,1
14,0.0219493409153289,0.459185996594282,3,1
6,0.00979495250050879,0.123762738410945,3,1
12,0.0189525493049135,0.376483883435189,3,1
20,0.0313180989873408,0.71773453481723,3,1
7,0.0116605534729122,0.175247513726382,3,1
13,0.0211356986281841,0.436732004041511,3,1
14,0.0220794504231463,0.462776613706661,3,1
10,0.0160254860244317,0.295706054971943,3,1
6,0.0099487396518717,0.128006784727088,3,1
9,0.014510596584741,0.253899825459892,3,1
6,0.0101097009006405,0.132448813783643,3,1
4,0.006970715982048,0.0458226082644211,3,1
8,0.0133231700839002,0.221130552982173,3,1
5,0.00871125000501095,0.0938559253706382,3,1
5,0.00856345279690767,0.0897771828292236,3,1
6,0.0101256719589749,0.132889565242321,3,1
4,0.0069047071206215,0.0440009693128758,3,1
4,0.00697322527100766,0.0458918568230361,3,1
6,0.0103241337506574,0.138366492465567,3,1
6,0.0104295782896627,0.141276433272434,3,1
4,0.00718677222656486,0.0517850875775175,3,1
6,0.0103541295464956,0.139194282990969,3,1
8,0.0131752037197635,0.217047142261173,3,1
4,0.00737096913615037,0.0568683484913401,3,1
8,0.013027081118148,0.212959419872454,3,1
6,0.0105102296702623,0.143502160140329,3,1
4,0.00728201858551317,0.0544135903831038,3,1
4,0.00736687085557899,0.0567552487141001,3,1
6,0.00999637177521923,0.129321282952925,3,1
4,0.00732189034024385,0.0555139266093958,3,1
6,0.0106483189231912,0.147312993360128,3,1
3,0.00547220913562139,0.00446848729313643,3,1
5,0.00885315108939696,0.0977719532644372,3,1
4,0.00714298156725721,0.0505766017926582,3,1
5,0.00880273296535431,0.0963805700980693,3,1
6,0.0101490222454616,0.133533960411009,3,1
4,0.00749035544331553,0.0601630386694972,3,1
5,0.00881455763465711,0.0967068941358671,3,1
3,0.00581331735684858,0.0138820116147418,3,1
8,0.0138214757802388,0.234882237931901,3,1
3,0.00596002623649225,0.0179307196809169,3,1
3,0.00579107289482515,0.0132681337564914,3,1
4,0.00720182333336275,0.0522004512395226,3,1
4,0.00717824640560983,0.0515498014778946,3,1
6,0.0103728166057249,0.139709987613747,3,1
3,0.00556828918622386,0.00711999739134961,3,1
4,0.00745228161760335,0.0591123196833972,3,1
4,0.00750277893916445,0.0605058884545665,3,1
4,0.00722351513756718,0.0527990774635498,3,1
3,0.00531028914688351,0,3,1
6,0.0105413784841942,0.144361770373357,3,1
3,0.00548990793679082,0.00495691907197868,3,1
3,0.00561458275080514,0.00839755556497531,3,1
3,0.0055157984430193,0.00567141639251729,3,1
3,0.00580211666909053,0.013572907523818,3,1
4,0.00715186699850987,0.0508218120162756,3,1
6,0.0104637833245827,0.142220385684317,3,1
4,0.00804664396895775,0.0755148690860241,3,1
4,0.00764840767453591,0.0645247879035798,3,1
5,0.00872732721237197,0.0942996062117858,3,1
3,0.00573555523166353,0.011736019195985,3,1
3,0.005456542983162,0.00403615028679919,3,1
3,0.00578648508920137,0.0131415246127221,3,1
6,0.0106751004436215,0.148052079897041,3,1
3,0.00601574800397993,0.0194684668850183,3,1
3,0.00583285063165521,0.0144210691514124,3,1
3,0.00582721794606243,0.0142656245753983,3,1
6,0.0108984340014503,0.15421539038803,3,1
3,0.00536598849831717,0.00153712859083861,3,1
3,0.00571042454245117,0.0110424904581898,3,1
4,0.00777873959677069,0.0681215429610357,3,1
3,0.00562086694102452,0.00857097963918518,3,1
3,0.0062717402433178,0.0265330552507857,3,1
3,0.00577686309210735,0.012875987466355,3,1
3,0.00586197974296812,0.015224941883721,3,1
3,0.00573834609384303,0.0118130382983405,3,1
3,0.00551128504715183,0.0055468607262286,3,1
3,0.00545205000214479,0.00391215800678351,3,1
4,0.00721171218365233,0.0524733527028142,3,1
3,0.00598246942900624,0.0185500818816425,3,1
3,0.00582824168438844,0.0142938765641547,3,1
4,0.00752802966597032,0.0612027298560144,3,1
3,0.00589272936164795,0.0160735355713235,3,1
3,0.00581267503666964,0.013864285578691,3,1
3,0.00584635708352292,0.0147938051490903,3,1
3,0.00562188365589312,0.00859903780239597,3,1
3,0.00564963511555818,0.00936489164073868,3,1
3,0.00569805894033611,0.0107012383598303,3,1
3,0.00601751230371998,0.0195171560618836,3,1
3,0.00577736030634211,0.0128897090303653,3,1
