degree,pagerank,pagerank_norm,kcore,membership_infomap
22,0.0332942871244328,0.828773908924481,3,1
11,0.0168374266923309,0.340535338336787,3,1
18,0.0268572806096414,0.637802193960254,3,1
26,0.0390657358646918,1,3,2
17,0.0253497857936279,0.593078164296428,3,1
11,0.0170172208849531,0.345869433498375,3,3
13,0.0201008746206029,0.437354604579016,3,2
5,0.00807679046607333,0.0806266804129943,3,1
14,0.0218932092046713,0.490529198782505,3,3
12,0.019156407267106,0.409334351716048,3,1
5,0.00822496785816131,0.0850227751848334,3,4
11,0.0179566173262924,0.373739243637861,3,4
13,0.0201177352670742,0.43785482258635,3,1
16,0.0245554604231942,0.569512291264801,3,3
7,0.0116394126416842,0.186321783421297,3,1
14,0.0222328793070983,0.500606457805544,3,2
4,0.00690563413602535,0.045881068096689,3,2
3,0.00535913949256834,0,3,1
5,0.00840328618635848,0.0903130847203474,3,2
6,0.00987569892631568,0.133996306950846,3,4
8,0.0128561505210954,0.222419699270715,3,1
12,0.0191919792281069,0.410389692949801,3,5
9,0.0145736383847448,0.27337375718532,3,4
3,0.00557135991216189,0.00629610943954753,3,1
8,0.0136329530653816,0.245465708891806,3,1
11,0.0180175621699378,0.375547342057901,3,6
6,0.0102078472517671,0.143850411523864,3,7
6,0.0105113592367211,0.152854939349908,3,7
4,0.00698071065439572,0.0481084219814161,3,1
5,0.00863951234438352,0.0973213912078102,3,3
6,0.0104286078739219,0.150399889843109,3,7
6,0.0102347788134315,0.144649411261694,3,2
5,0.00857010771681789,0.0952623097508931,3,1
6,0.0102152154465395,0.144069009530352,3,3
5,0.00858590510197344,0.0957309831518245,3,4
6,0.0102975832798949,0.146512680568686,3,2
5,0.00888926183021428,0.104730904855332,3,5
3,0.0057839636224747,0.01260359026513,3,5
3,0.00550703269676025,0.00438766354689615,3,3
5,0.00886065136450419,0.103882095755943,3,4
3,0.0055359453283209,0.00524543723728766,3,1
6,0.0102321290935204,0.144570799945325,3,1
7,0.0118607481201838,0.192888316454062,3,3
5,0.00893834250120335,0.106187019570897,3,7
3,0.00550101499562758,0.00420913169318311,3,1
7,0.0120672725613677,0.199015438839955,3,4
6,0.0104197551047373,0.150137247804534,3,5
3,0.0054213466843527,0.00184554949119127,3,3
7,0.0120593013589632,0.198778950933657,3,2
7,0.0119557824479856,0.195707774305951,3,1
6,0.010471559234832,0.15167416151492,3,6
4,0.00698033083552284,0.0480971535973677,3,6
4,0.00736460562658668,0.0594977348610887,3,2
3,0.00553695354884448,0.00527534890539095,3,3
3,0.00561454294810423,0.00757725439603021,3,1
4,0.00722790863255013,0.0554422380518766,3,3
3,0.00554600162854265,0.00554378537397652,3,2
4,0.00766650231519739,0.068454340425108,3,5
5,0.00888476556246614,0.104597510557714,3,6
5,0.00925871624287538,0.115691798342835,3,3
7,0.0120766176398957,0.199292686605491,3,2
4,0.00714456410435704,0.0529695906426585,3,2
5,0.00907444198528141,0.110224789584087,3,6
3,0.00593398346919575,0.0170543465819298,3,1
3,0.0055729027342982,0.00634188155249767,3,1
3,0.00571236997631741,0.0104795654787976,3,7
4,0.0072558411858247,0.0562709349919708,3,5
3,0.00571062385317262,0.0104277618755649,3,3
4,0.00727724422352188,0.05690591567827,3,1
3,0.00568463389950415,0.00965669755979887,3,2
3,0.00573247563398292,0.011076055775342,3,1
4,0.00715651978941042,0.0533242893171076,3,1
3,0.00590536176867088,0.0162052041704894,3,6
3,0.00621428801440469,0.0253703611125679,3,5
4,0.00738883400883357,0.0602165372574924,3,6
4,0.0074798008976176,0.0629153232096471,3,7
4,0.00745005747733267,0.0620329018593403,3,2
3,0.00578477469167725,0.0126276528905458,3,6
4,0.00735701256114197,0.059272465440205,3,5
3,0.00554810431979874,0.00560616756269932,3,2
3,0.00559178362896989,0.00690203584583665,3,1
3,0.00587513832253035,0.015308541517077,3,1
5,0.00935943194869668,0.118679810087165,3,7
3,0.00592434843546488,0.0167684964882419,3,5
3,0.00588378434759723,0.0155650499159503,3,4
4,0.00779381067357813,0.0722312972253511,3,6
4,0.00725810835462654,0.0563381968648936,3,2
3,0.00605759877195285,0.0207217386078815,3,7
3,0.00568209902041644,0.0095814933161036,3,4
3,0.00599653270934363,0.018910043889879,3,7
3,0.00559504786884059,0.00699887860725537,3,2
3,0.00577302142093304,0.0122789593999764,3,2
3,0.00577618084344402,0.0123726924626714,3,6
3,0.00587848340429751,0.0154077826783687,3,2
3,0.0061704002297322,0.0240683078234146,3,3
3,0.00553808097638134,0.005308797181343,3,4
3,0.00583226153432923,0.0140364822522447,3,4
3,0.0058086395939481,0.0133356716417536,3,2
3,0.00584732844024109,0.0144834839532032,3,1
3,0.00587791186052016,0.0153908262413841,3,5
