degree,pagerank,pagerank_norm,kcore,membership_infomap
4,0.00863232140205545,0.329845490943887,3,1
5,0.0118356547207453,0.52799384861866,3,2
6,0.012158861606387,0.547986433594263,3,3
2,0.00747525867445435,0.258273145392715,1,4
6,0.0117818657238826,0.524666626525617,3,5
4,0.00824138797582452,0.305663550239847,3,3
10,0.0186901093535351,0.9519893536506,3,1
7,0.0140821608761859,0.66695581758069,3,6
4,0.00889949349211765,0.346371935617466,3,7
5,0.0103782747854991,0.437844803250096,3,3
5,0.00997502145371248,0.41290079103813,3,3
5,0.0109137492265453,0.470967607065443,3,8
5,0.0106315400789112,0.453511016207962,3,7
8,0.0169404961604229,0.84376365676212,3,9
3,0.00726262477614857,0.245120265706593,3,2
6,0.0123697456844381,0.561031074775301,3,10
2,0.00513466343523118,0.113491114772452,2,11
5,0.0100673806628993,0.418613847968465,3,3
5,0.0102478690599521,0.429778305705877,3,5
5,0.0100901191168676,0.420020378872877,3,12
4,0.00912385294941582,0.360250122359087,3,3
3,0.00670336532708754,0.210526194368782,3,12
5,0.0107452351225224,0.460543842306912,3,13
7,0.0134074788970643,0.625222063139429,3,3
3,0.00679880620397421,0.216429873795396,3,5
4,0.00828269390842478,0.308218608328624,3,1
5,0.0101248201944662,0.422166880922974,3,3
1,0.00342635279828347,0.00782026711680467,1,9
6,0.0122916402483828,0.556199712459824,3,1
4,0.00906530298095685,0.356628401189965,3,3
7,0.0136872431398207,0.642527419692519,3,10
6,0.0128906442448034,0.593252259392378,3,10
8,0.0154197860541891,0.749697201581956,3,9
2,0.00489026435142217,0.0983733383014786,2,13
3,0.00668652252074205,0.209484350113449,3,13
2,0.00578182362029318,0.153522455586833,2,6
1,0.0036397549302603,0.0210206673776174,1,8
6,0.0122047137710888,0.550822707633707,3,5
2,0.00506799951349583,0.109367489381691,2,10
8,0.0152769087754748,0.740859252074452,3,1
1,0.00342016766836973,0.00743767398256473,1,3
2,0.0054172229784564,0.130969380024696,2,7
2,0.0048959482853899,0.0987249289942942,2,1
6,0.0123283574957641,0.558470928578517,3,12
4,0.00868088878667426,0.332849720145583,3,2
6,0.0122531508038858,0.553818873672182,3,1
4,0.0088092266445967,0.340788305751539,3,10
3,0.00738534952793339,0.252711641811703,2,7
5,0.0103875282776873,0.438417195847882,3,3
5,0.0104824135799833,0.444286509137176,3,13
3,0.00681158217582506,0.217220156163195,3,1
7,0.0143444404529891,0.683179626415062,3,10
3,0.00742349138549613,0.255070979939467,3,2
5,0.0112951039315866,0.494557037504855,3,3
3,0.00675125314932907,0.213488387929602,3,4
4,0.00869194211646443,0.333533445167885,3,13
2,0.00525306685428213,0.120815186510831,2,13
5,0.0125867937074135,0.574456998652224,3,8
4,0.00849556842427402,0.321386371876749,3,7
5,0.0106316494223686,0.453517779858312,3,5
6,0.0123118029203094,0.557446913400568,3,11
3,0.0072309553293235,0.24316129102224,3,8
1,0.00329992771704494,0,1,9
4,0.00859121414600539,0.327302722376122,3,5
5,0.0104096434024278,0.43978516952128,3,5
6,0.0121881721028221,0.549799490854758,3,3
1,0.0046769849366431,0.0851805289495019,1,4
3,0.00698565797377076,0.227987950220909,3,5
4,0.00895101190153338,0.349558706146834,3,8
5,0.0101756055663699,0.425308308003917,3,1
7,0.0138747329359895,0.654124962469248,3,12
5,0.0100933648123068,0.42022114762118,3,12
3,0.0074330056408844,0.255659502547678,2,6
5,0.0099636908338662,0.41219991370486,3,5
5,0.0102916582549599,0.432486970778001,3,6
3,0.00767931301897387,0.270895320240096,2,6
4,0.00851203220335694,0.322404770670084,3,10
3,0.00682084670564688,0.217793231515083,3,4
5,0.0114663320846892,0.505148685001233,3,2
7,0.0140677762346782,0.666066027850146,3,13
4,0.0087101452122777,0.334659432750554,3,7
6,0.0141163869057015,0.669072934615839,3,4
3,0.00674307003090581,0.212982205364469,3,11
4,0.00825362041537381,0.306420211369336,3,9
4,0.00861676904063872,0.328883469647286,3,6
9,0.0171166848728229,0.854662149216586,3,9
5,0.0113314870487263,0.496807585353325,3,9
5,0.0105958059954394,0.451300615588198,3,12
7,0.0137899307505063,0.648879359808202,3,9
5,0.0107909411814039,0.463371078689189,3,2
8,0.0158309118124084,0.775128177907036,3,13
4,0.00898124581795093,0.351428883330476,3,11
8,0.0162461054015681,0.800810777756726,3,6
8,0.0161053734203737,0.792105529762932,3,9
7,0.0141678499262742,0.67225627896154,3,1
8,0.0162825470212891,0.803064944395148,3,4
10,0.019466265688655,1,3,1
3,0.0077859778325001,0.277493277904568,2,7
3,0.00706421039725647,0.232846961805577,3,4
2,0.00531198901957164,0.124459930632411,2,2
