node,degree,pagerank,pagerank_norm,kcore,membership
ENSG00000155903,30,0.0458929008755546,1,3,1
ENSG00000120837,25,0.037625707772726,0.795830337357504,3,2
ENSG00000189306,11,0.0170488645164968,0.287656995617804,3,1
ENSG00000267140,17,0.0257612078959971,0.50282025435547,3,1
ENSG00000138600,20,0.0310409053555145,0.633209618164485,3,3
ENSG00000196277,21,0.031921757669285,0.654963473131155,3,4
ENSG00000169288,16,0.0247664046051862,0.478252223857789,3,4
ENSG00000109854,17,0.0262528495985805,0.514962019923168,3,5
ENSG00000170085,8,0.0131308344402937,0.190895873803939,3,4
ENSG00000177105,12,0.0186104461849679,0.326222394837929,3,4
ENSG00000126903,15,0.0234666259320295,0.446152408369323,3,4
ENSG00000130338,12,0.0191520422588377,0.339597852059639,3,6
ENSG00000138767,5,0.0082460536616086,0.0702595186031099,3,5
ENSG00000213934,9,0.0145561428064096,0.226095817079952,3,4
ENSG00000292275,10,0.0160792247320105,0.263710412391682,3,6
ENSG00000187778,9,0.0148567137102475,0.233518827438298,3,4
ENSG00000235568,5,0.00853436868986732,0.0773798533191582,3,1
ENSG00000204344,8,0.0129425939846002,0.186247017794825,3,3
ENSG00000131969,3,0.00540759773054993,0.00015995970063864,3,1
ENSG00000281022,7,0.0120016684800286,0.163009573059877,3,1
ENSG00000131374,7,0.0117456681165894,0.156687293274027,3,3
ENSG00000291657,4,0.00685283682762912,0.0358521196899151,3,5
ENSG00000089177,5,0.00850681784720124,0.0766994475051552,3,1
ENSG00000124126,4,0.0072098894823455,0.0446700242861087,3,4
ENSG00000269791,7,0.0117394455585117,0.1565336186752,3,4
ENSG00000148516,3,0.00548667732095672,0.00211293855264302,3,6
ENSG00000180251,7,0.0116619424209636,0.154619572486838,3,2
ENSG00000115216,5,0.00878852137896139,0.0836565022550908,3,3
ENSG00000142686,5,0.00846259728050027,0.0756073600127138,3,1
ENSG00000060339,6,0.0104368337240954,0.124363834387,3,2
ENSG00000215269,4,0.00698560501075464,0.039131011911402,3,3
ENSG00000178750,7,0.0121652325517678,0.1670490119519,3,5
ENSG00000148331,4,0.00728757562472831,0.0465885900296459,3,1
ENSG00000198721,4,0.00723816838474199,0.0453684105328526,3,6
ENSG00000048342,3,0.00562592959196183,0.00555196420980182,3,3
ENSG00000285074,5,0.00888293304550127,0.0859881277375497,3,3
ENSG00000206401,7,0.0116704026163213,0.154828508604644,3,6
ENSG00000181754,5,0.00871029096567601,0.0817244949957716,3,5
ENSG00000211448,4,0.00716246424781157,0.0434987931300079,3,1
ENSG00000057252,4,0.00716095597652275,0.0434615443036674,3,3
ENSG00000131016,5,0.00924588992971527,0.0949518453720619,3,3
ENSG00000149091,7,0.0117858984677885,0.157680836926648,3,5
ENSG00000078549,3,0.00556995203699661,0.00416952178095738,3,4
ENSG00000286140,5,0.00869197890196594,0.0812722534884705,3,5
ENSG00000155368,3,0.00555950253852528,0.00391145709671245,3,5
ENSG00000092439,3,0.00551750424205367,0.00287425161287836,3,4
ENSG00000196616,4,0.00710135651882151,0.0419896540234736,3,6
ENSG00000149633,4,0.0075661581521661,0.0534685673009651,3,1
ENSG00000100095,3,0.00581630092602506,0.0102534451803132,3,3
ENSG00000112855,3,0.00576538422061429,0.00899598736636346,3,5
ENSG00000291720,6,0.0102220674980212,0.119059888128678,3,1
ENSG00000171824,3,0.00571563238187947,0.00776729753125406,3,3
ENSG00000291387,5,0.00887736466120622,0.0858506088567345,3,4
ENSG00000223885,7,0.0119066677916933,0.160663400877014,3,5
ENSG00000101220,5,0.0091366378488573,0.0922537155214203,3,5
ENSG00000167216,3,0.00563257232912489,0.00571601570693457,3,2
ENSG00000107438,4,0.0073524215900561,0.0481900500052417,3,6
