gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000125534	-0.4070189693338797	11.459631563269346	-6.863546477888657	2.5469868616652272e-11	2.5665067649640464e-7	15.208153594984227
ENSG00000169047	0.2983485641711603	9.3392060564218191	6.8080769371565015	3.60249917706992e-11	2.5665067649640464e-7	14.881846247160476
ENSG00000157833	0.49127883525987315	10.60428355275325	6.773301156523749	4.476465287727988e-11	2.5665067649640464e-7	14.677491700420378
ENSG00000134294	0.43829213225670216	11.864022656646997	6.617240556877286	1.1685752098560603e-10	5.024873402381059e-7	13.774999906060645
ENSG00000159176	0.6898525622481362	13.53215625513336	6.534682032822145	1.9303831393706167e-10	6.640517999434922e-7	13.303219644939672
ENSG00000133195	0.3427091507209852	9.383354994957225	6.487921193847824	2.555967544531473e-10	7.311920621141165e-7	13.039413753462851
ENSG00000176476	0.25436641707719243	7.803417896987923	6.462567992535572	2.975781648138846e-10	7.311920621141165e-7	12.896540800088951
ENSG00000196517	0.31603326630915873	9.821059845152794	6.400759040957651	4.30308479455972e-10	9.251632308303398e-7	12.550117364185025
ENSG00000086159	0.7195304728331706	6.120719021569808	6.308404896560612	7.431115165802889e-10	1.4075443347852478e-6	12.037193905619072
ENSG00000178035	-0.27043439304539163	9.713535062217245	-6.2912709309708115	8.21478651063956e-10	1.4075443347852478e-6	11.943081799051816
ENSG00000198830	-0.34522513441821623	10.777228287911466	-6.264123392199765	9.63037116372016e-10	1.4075443347852478e-6	11.793884748936721
ENSG00000177807	0.4661433191048747	12.457247998473862	6.260833429828078	9.820076754315683e-10	1.4075443347852478e-6	11.775590647073725
ENSG00000184009	-0.533804071126891	14.139736802347818	-6.215376427411522	1.2795234648773986e-9	1.692907968914712e-6	11.527291276820465
ENSG00000145832	0.5253327661937881	8.39461083410795	6.0204032704683765	3.920916397974195e-9	4.738632154785723e-6	10.477495711649075
ENSG00000149809	-0.2963048241572661	9.276622635856306	-6.007143214556381	4.223448618048237e-9	4.738632154785723e-6	10.407831800048255
ENSG00000100600	-0.3052467722743675	9.655692421330873	-5.999579339081713	4.40802991142858e-9	4.738632154785723e-6	10.367761252813546
ENSG00000172987	0.6592178373949125	9.47227119773518	5.979819753552784	4.933192199186323e-9	4.7718736608550185e-6	10.26237635526793
ENSG00000179029	-0.2844566318097064	7.892305153564954	-5.969123709608941	5.234301840543294e-9	4.7718736608550185e-6	10.206842877967302
ENSG00000140988	-0.20577949833793951	12.43949860845807	-5.96787399393312	5.271255788153799e-9	4.7718736608550185e-6	10.200254283470679
ENSG00000115041	0.27236920379774077	9.572360709174028	5.904188091755409	7.532616013856629e-9	6.4299472089057435e-6	9.866018028922698
ENSG00000108932	-0.6213377784996128	7.398486038662658	-5.8961224167289386	7.884800928267606e-9	6.4299472089057435e-6	9.823277737048974
ENSG00000228058	0.6395874727281541	6.196469236536896	5.88698707312429	8.292355701888832e-9	6.4299472089057435e-6	9.776082816876484
ENSG00000197044	-0.3261642515026022	8.457474780738316	-5.880445332915841	8.598185221211169e-9	6.4299472089057435e-6	9.742176619946672
ENSG00000261840	0.3727098531332116	5.22221416614745	5.841639677162116	1.066417976100725e-8	7.620651817233735e-6	9.540665929349057
ENSG00000198417	0.5476852653999256	9.358304060299641	5.834949155857629	1.1076528804118801e-8	7.620651817233735e-6	9.50521490572916
ENSG00000178104	0.30799106084327477	12.977312813675432	5.824011491690229	1.1755708791765952e-8	7.776853508399016e-6	9.449495025096347
ENSG00000112972	-0.34057847099266425	9.942147580403468	-5.8015640117114735	1.3305468423778648e-8	8.301379926942795e-6	9.333658612779095
ENSG00000125144	0.7866286218976946	10.01982538858139	5.797045354892012	1.3651627460587674e-8	8.301379926942795e-6	9.309675968396938
