gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000012223	1.1442434562892654	4.355841685503719	8.160682817531034	3.0023565967226884e-15	7.125192675342284e-11	23.92104767315076
ENSG00000111181	0.4964389835333822	9.494402173460008	7.926836260614492	1.611813190036735e-14	1.4003437038971204e-10	22.313607988861314
ENSG00000119950	0.3028424201769919	11.107086323299448	7.913644803603213	1.7701968277816287e-14	1.4003437038971204e-10	22.223984442310613
ENSG00000251423	-0.6267275890787372	3.1573144519408163	-7.727618581062223	6.557130342701189e-14	3.890345432324615e-10	20.97226607237012
ENSG00000196154	0.8807856900883326	5.26992276093833	7.675139387995648	9.447616294692853e-14	4.3153280046062733e-10	20.62328798305427
ENSG00000157833	0.5366250873153007	9.897912918928496	7.65438319270259	1.0910150020073167e-13	4.3153280046062733e-10	20.485769722843596
ENSG00000149809	-0.2391712632226266	9.40402592004524	-7.601429872664665	1.5729951771875167e-13	4.844768774579147e-10	20.136239735124736
ENSG00000166535	0.589336376705643	7.4938928679057994	7.595981691443607	1.6331598768175111e-13	4.844768774579147e-10	20.100384670368634
ENSG00000086159	0.6471053059775995	6.056074890543432	7.456885727352873	4.228873931125626e-13	1.115107068149704e-9	19.191774018090857
ENSG00000171476	-0.33670082827294046	11.107145640387913	-7.38611785164006	6.826925907840866e-13	1.6201660564487943e-9	18.734553920769912
ENSG00000251632	0.7069776968572619	4.160766852986905	7.278189519232073	1.4077833390474742e-12	3.0372285638431507e-9	18.043875228004374
ENSG00000260293	0.2818591598711411	7.248893507870114	7.239645440068294	1.8193944346164727e-12	3.5981557268598443e-9	17.79916926374215
ENSG00000251442	0.6617140290198007	7.718483109665391	7.204981630730386	2.2893730015399147e-12	4.179338467118866e-9	17.57998122696104
ENSG00000179029	-0.21227071869588343	7.740880165789624	-7.170840585705115	2.867718920055575e-12	4.861193243625636e-9	17.365142078767377
ENSG00000158169	0.42058743445977775	6.6466768675315375	7.140180334722742	3.509761142104717e-12	5.552910094961944e-9	17.172478873874706
ENSG00000146416	-0.17371227657034005	9.761582464289251	-7.116344857498979	4.103026472179802e-12	6.085814014860691e-9	17.023547553228674
ENSG00000042062	0.5994295976478847	6.973775970743294	7.076017608136836	5.342391152470001e-12	7.457978048848121e-9	16.771898561112092
ENSG00000182310	0.3939845235490367	8.396151864213648	7.061671158070159	5.866218224320961e-12	7.734282827754724e-9	16.68272823152278
ENSG00000287689	0.83650985924942	3.5705601414574053	7.040335473684029	6.739892985870094e-12	8.168843694182196e-9	16.55038570368902
ENSG00000226673	0.7951675749442499	2.1990619387512544	7.034986019490673	6.978280726223886e-12	8.168843694182196e-9	16.517254293897203
ENSG00000157005	-0.9966018154309078	6.973355449307507	-7.029561881407824	7.228455990975312e-12	8.168843694182196e-9	16.483681057914367
ENSG00000135678	0.4664451348836902	8.753818759018769	7.009768933857495	8.218410406791437e-12	8.865423444271563e-9	16.361347817175606
ENSG00000135336	-0.23920160392182943	8.693953583683275	-6.99211970839565	9.212763847490299e-12	9.505970070810425e-9	16.252499017084403
ENSG00000172954	-0.2056632655663222	7.116739805367667	-6.95299653292957	1.1855042990276387e-11	1.1655751244214635e-8	16.012202461823787
ENSG00000266903	0.9174654481022744	4.47462417244422	6.947575737993068	1.2278517659926087e-11	1.1655751244214635e-8	15.978768089409531
ENSG00000228275	0.46964014128532705	3.8548508754144795	6.935114983072401	1.3302528707548375e-11	1.2142138895674539e-8	15.902448066135591
ENSG00000237422	0.5140040859933119	4.382414093540802	6.901367250024633	1.65161048202697e-11	1.3856533082668875e-8	15.696307175307705
ENSG00000105655	0.3858454544599734	8.752016217193173	6.89978797491641	1.668385863513873e-11	1.3856533082668875e-8	15.686680508912023
ENSG00000164684	0.23611822185716314	10.43304340157411	6.892818267069063	1.7444408470433778e-11	1.3856533082668875e-8	15.644217182257282
ENSG00000123472	-0.1679787296695121	11.144335676926314	-6.892142599675727	1.75162646418366e-11	1.3856533082668875e-8	15.64029418545394
ENSG00000088836	0.47539781997011676	6.902473903747003	6.871996662905038	1.9925141116294197e-11	1.4940791820154535e-8	15.517568311235912
ENSG00000257181	0.5408085352153087	4.4373038791032355	6.870268061432805	2.0146019646255903e-11	1.4940791820154535e-8	15.507067987660523
ENSG00000188488	0.8532942346466603	3.4173535310021257	6.822244080871837	2.7341888053078345e-11	1.9143229683111665e-8	15.216209068812791
ENSG00000248837	-0.6338558663879001	3.792711449142273	-6.809386674010446	2.966308089668836e-11	1.9143229683111665e-8	15.138620298317669
ENSG00000198740	0.3126116571361379	10.13701299589072	6.80904624853738	2.97270974577135e-11	1.9143229683111665e-8	15.136567605686498
ENSG00000198830	-0.28628937624130835	10.254430542068453	-6.8089530305560535	2.974465062049142e-11	1.9143229683111665e-8	15.136005535864172
ENSG00000103540	0.2893653476403184	10.708204388333863	6.808417144932924	2.984575671140787e-11	1.9143229683111665e-8	15.132774466454663
ENSG00000108349	0.2114702885755193	11.54021322557876	6.758850786041288	4.081314494153847e-11	2.5488883046120815e-8	14.834818721704352
ENSG00000175287	0.4667349545548021	8.637068450043133	6.751894278171254	4.263962065530847e-11	2.594675583055848e-8	14.793144107924569
ENSG00000287680	0.5802740786223106	3.2946257596526487	6.743708134867099	4.4891869920584935e-11	2.6408757971939563e-8	14.744148138836145
ENSG00000118007	0.1889039439991258	9.058596541753797	6.741121274816498	4.5624434386040875e-11	2.6408757971939563e-8	14.728738154988438
ENSG00000188783	0.392079565515699	9.710520483096015	6.726644965936129	4.996829401760946e-11	2.823446556252161e-8	14.642177892178186
ENSG00000187951	0.47263061661626393	3.911294002694622	6.710426537175187	5.5313610614335645e-11	3.051362677822967e-8	14.545452510823633
ENSG00000088827	0.6013247632134826	4.9742786964043555	6.706828617746615	5.657338522847234e-11	3.051362677822967e-8	14.524020817816712
ENSG00000186635	0.2379830582529312	10.389344101584845	6.67879101601659	6.740385149611208e-11	3.5547293415682926e-8	14.357333444050987
ENSG00000104805	-0.1904064448788585	11.107574921460502	-6.6582163698978585	7.661612136976124e-11	3.9527256355373344e-8	14.235440099663272
ENSG00000184481	0.3663498233802951	10.31181518690459	6.640497377197666	8.554175879894397e-11	4.315168816040976e-8	14.130602064666181
ENSG00000168743	0.38899653195432915	5.841415730243912	6.637260511613004	8.727798043568465e-11	4.315168816040976e-8	14.111486319200356
ENSG00000273271	0.34361237752524065	5.21949404082517	6.630498972425798	9.101705865518039e-11	4.3661160142769906e-8	14.07157996196565
ENSG00000256422	-0.3843246988880278	6.550236688193123	-6.628787826548716	9.198794906196256e-11	4.3661160142769906e-8	14.06148616657805
ENSG00000286722	0.5243811935136331	2.3188905534225266	6.6159534508744064	9.960109770460267e-11	4.634771079854177e-8	13.985846699718241
ENSG00000285999	0.6015384430359836	4.282058768144356	6.607569135243507	1.0490472728658316e-10	4.787690361471522e-8	13.936499112432024
ENSG00000187098	0.32954743645177675	6.858435065117811	6.585640976558082	1.201199429155557e-10	5.378653745796166e-8	13.80768123695374
ENSG00000196517	0.3529627733643306	8.423946522674576	6.582025296955469	1.2282844371471335e-10	5.398082641180699e-8	13.786474816453495
ENSG00000120729	0.5064058751505138	6.424803044283612	6.567244659552811	1.345370681093054e-10	5.805152182490974e-8	13.699884825480822
ENSG00000205929	0.6841499320506035	4.400524169958595	6.531828655088769	1.672262866828311e-10	7.086811134923121e-8	13.493062779538203
ENSG00000103356	-0.1979204763392488	9.118460327543904	-6.527481947588853	1.717395395807232e-10	7.150390795315304e-8	13.467742883376523
ENSG00000140688	-0.22984180909686813	9.990818900548183	-6.510093582122999	1.9101885726076006e-10	7.737503839046919e-8	13.366594447429005
ENSG00000105419	-0.3106121124669521	9.946873229219687	-6.508947397971245	1.923616747445509e-10	7.737503839046919e-8	13.359934953199549
ENSG00000122512	-0.2691799670864903	9.092005312942424	-6.489221444458241	2.1697529337784248e-10	8.567684372603766e-8	13.245477211010542
ENSG00000214530	0.25851077742119877	9.074571238116544	6.486785518919087	2.202211135718986e-10	8.567684372603766e-8	13.231363070592046
ENSG00000134590	-0.2704427345670801	11.686253894134627	-6.481914280821529	2.2685528348287007e-10	8.683434818734632e-8	13.203151576522206
ENSG00000233123	-0.701209193169027	7.359738553267079	-6.476570379772904	2.343585027934369e-10	8.82824760046642e-8	13.172222986765085
ENSG00000102547	0.2636683635653263	10.332883100557979	6.469764524959842	2.442672317523474e-10	9.05216263387519e-8	13.132863902158487
ENSG00000104112	-0.31899697779075353	12.047800138112853	-6.465116787638679	2.512686052350252e-10	9.05216263387519e-8	13.106005291823948
ENSG00000171611	0.35507329223586703	1.8072302571608205	6.464804755303099	2.517456319887757e-10	9.05216263387519e-8	13.104202677874873
ENSG00000230519	0.5294825313247395	3.1910584869207637	6.457929212817728	2.624848449097875e-10	9.297448267759816e-8	13.064501010135011
ENSG00000154864	0.48419799176717326	7.924497994827402	6.446605276240397	2.811582738584818e-10	9.812423757661016e-8	12.999189652760105
ENSG00000197410	-0.38969218505110614	7.646676004953732	-6.4391595584814825	2.941391979496519e-10	1.0050439851546003e-7	12.956298239389273
ENSG00000227456	0.526982448823663	4.543663871103438	6.437868962087645	2.964481668667707e-10	1.0050439851546003e-7	12.948867904985324
ENSG00000182134	-0.19431054317623797	8.525681276164171	-6.435263084210757	3.011553149926194e-10	1.0066222444232175e-7	12.93389659744722
ENSG00000185414	-0.27235115882434613	8.709253050020745	-6.417311728072544	3.357117845284474e-10	1.105505365292534e-7	12.830681750887123
ENSG00000010310	0.7763444411846914	5.437413502524375	6.415184127031056	3.400551646146763e-10	1.105505365292534e-7	12.81846794039095
ENSG00000276269	0.6989433639241138	3.9125421965008402	6.404654359887243	3.623744485199595e-10	1.1621446503075242e-7	12.758070102514548
ENSG00000279207	0.32157434183055855	8.237316051108982	6.40146344767817	3.694168806021815e-10	1.1689335213934628e-7	12.739783689912908
ENSG00000137267	-0.45024810322897224	11.511068457764965	-6.39750299699333	3.7834432841339517e-10	1.1814299476193018e-7	12.717097827195328
ENSG00000182902	0.3385685699046821	11.157685602088941	6.378756737714214	4.2355033612902843e-10	1.3054151398719613e-7	12.609876849080951
ENSG00000228058	0.7035402678677025	5.865169419284242	6.362202438145324	4.678382819810295e-10	1.4012473539576178e-7	12.515412184555014
ENSG00000280187	-0.2567684602593765	6.73754705465859	-6.361440701024445	4.699378080289235e-10	1.4012473539576178e-7	12.511154966048437
ENSG00000120616	0.1522271054283646	9.270410842881079	6.360574620548767	4.723571056658075e-10	1.4012473539576178e-7	12.506274946335228
ENSG00000133195	0.27833869601646377	8.897444814826391	6.351534972974765	4.987466686182728e-10	1.4612661653887466e-7	12.454648929076935
ENSG00000124608	-0.1440665498593301	8.866316319273947	-6.344728658773901	5.194230716308683e-10	1.5032863824321668e-7	12.41606318618491
ENSG00000154945	0.3014630892092427	11.595228155748448	6.3345864893898876	5.520100487047942e-10	1.5783496958870095e-7	12.358284175314765
ENSG00000197256	0.3342396373045098	9.269673675906168	6.325839724522014	5.81637222898377e-10	1.643263639740986e-7	12.308636893512421
ENSG00000126602	-0.2320553060374575	10.2687255979567	-6.317998909619165	6.095149392002982e-10	1.7017657102472326e-7	12.26418084694454
ENSG00000198624	0.2607547036525215	8.649286883632564	6.303354724484791	6.651267037481928e-10	1.835440341087455e-7	12.18127503256008
ENSG00000147421	0.31993028155100056	10.14391019417703	6.276592913591211	7.798658495994406e-10	2.1128428050433137e-7	12.030185482990234
ENSG00000136521	-0.23111115390087633	10.629056272921549	-6.275818844362184	7.834576388159936e-10	2.1128428050433137e-7	12.025823365161894
ENSG00000128564	-0.9428764328668873	9.21507867142426	-6.273557233752412	7.940448132013449e-10	2.117333877179137e-7	12.013081091818542
ENSG00000169255	-0.2566759975077826	9.209042135969488	-6.269437287659825	8.136922765310218e-10	2.1456161229593564e-7	11.98987860841191
ENSG00000005469	-0.18243489013095537	7.259719642098534	-6.258833580467577	8.663466294175875e-10	2.2593558471800208e-7	11.930352327234445
ENSG00000104415	0.5558044000110258	4.046959320516089	6.252725528262891	8.983823771417102e-10	2.3174359319920724e-7	11.89589404492191
ENSG00000183856	-0.5844405911357606	5.374226264487305	-6.245395478563606	9.381949886609573e-10	2.394112201172241e-7	11.854737650649081
ENSG00000132471	-0.19720485094292606	12.483929117242855	-6.220440320347506	1.0869698905801606e-9	2.744252068430678e-7	11.715041829887845
ENSG00000204052	-0.330869379541312	8.201483201237346	-6.21055709728107	1.1522718487168377e-9	2.87849636986821e-7	11.65968630452505
ENSG00000147571	-0.8861189942572825	4.6001636175258325	-6.205188305422022	1.189255072901503e-9	2.939937644801924e-7	11.629709800719386
ENSG00000280010	0.35896001055927407	4.082895042103138	6.20146406007898	1.2155890929229972e-9	2.9472699715159714e-7	11.608928459014074
ENSG00000230537	0.5176894904456946	5.653583247086254	6.2012295847601235	1.217266008285785e-9	2.9472699715159714e-7	11.607620436575054
ENSG00000266258	0.3968939306663728	3.291137038654295	6.19877922956625	1.2349263162387466e-9	2.9472699715159714e-7	11.593953613987384
ENSG00000170275	0.23612239152661374	11.102933199538425	6.197821471970266	1.2418970046839591e-9	2.9472699715159714e-7	11.588612976320398
ENSG00000104524	-0.2724533477561817	8.305961882214518	-6.188104558626374	1.3148293077023784e-9	3.0894583297418656e-7	11.534469116028117
ENSG00000255916	-0.5191092723656965	6.282924633658749	-6.179669443162195	1.381524097868254e-9	3.2143460677068046e-7	11.487525914354507
